Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,7.408837502392509,7.268083821123447,7.459067662153938,7.5279965544501515,7.055611580712079,7.18905351107082,7.40631545034245,7.571068055865724,7.3675026211103996,7.368803679833421,7.650835677814098,7.234542209766014,7.434628227636725,7.500362739375406,7.542146201033956,6.884840953097189
YAL068W-A,8.086428338992402,7.927164208948455,8.282337486701167,8.189318837927805,7.97536829324048,7.953844002770262,8.101877074741525,8.164228179403098,7.96771582574229,8.03648957999083,8.19038104185572,7.81630787596182,8.066089190457772,8.126064938581118,8.205670144508327,7.7579554962407915
YAL068C,8.345568912384623,8.381670133052035,8.429041766894482,8.308225453546145,8.240188459674382,8.28897201976522,8.242400314282445,8.247301558477076,8.150581496202246,8.204483014997086,8.275179674471957,8.211657783798984,8.388017285345136,8.306658359756305,8.240319206366038,8.171325793787105
YAL067W-A,8.397339897800133,8.430056935836213,8.463499912961193,8.36199722541859,8.28954759400393,8.36603706872574,8.321683520490549,8.321064732044146,8.206725029907204,8.256398083435933,8.349264156790078,8.241677220570894,8.447083226209653,8.36215946536706,8.290780759683107,8.262939330626065
YAL067C,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0249263436529772,0,0
YAL066W,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0249263436529772,0,0
YAL065C,7.959330993197156,8.079611876612729,8.213144497175954,7.905306974381924,7.908004713544467,8.018927077066104,7.9533054454550065,8.26235899411458,7.8783554396728555,7.688985001666623,7.973281031062711,7.8634070998965,8.066089190457772,7.956117437794044,8.108985599122322,7.946612759639172
YAL064W-B,4.815851786825742,4.721221916702172,4.0549384188609015,3.911052564793188,4.398594894003748,4.577877106535887,3.9693966711237887,4.4053939681910705,4.306997878914855,4.193224333740323,4.592503174344029,4.891060318818311,4.584962500721156,4.134030968206787,4.639273617141073,4.640388455746253
YAL064C-A,8.021924775232023,7.988101586201538,8.029842677004234,8.107730413317851,7.849361277325415,7.645786218949952,7.70558018405487,7.7455179188396635,7.749887070409354,7.718898077314343,7.650835677814098,7.792168813061384,7.787902559391432,7.894708088942956,7.8038899663451495,7.791161743311973
YAL064W,7.288654797886104,7.13069721683666,7.166636423641188,7.344281315455531,7.2764539043642955,7.05065311008331,7.241342266750841,7.142370193179536,7.130068763852673,7.40605455814528,6.742901971325848,7.258231895864825,7.087462841250339,7.125884933997465,7.024273870386237,7.188834930478743
YAL063C-A,8.315129410560301,8.433712636569474,8.334467025441498,8.357592004790863,8.221812576455859,8.155442521611223,8.402056895406218,8.358915405515377,8.182041679783472,7.832708916940732,8.431146107418686,8.117659183247785,8.224001674198105,8.152540422545044,8.462029923695702,8.398400532216531
YAL063C,9.033240860874283,8.92679393157027,8.90389301036738,8.975993479338316,8.910745567658823,9.010820230614662,8.921596101822555,8.787962956263364,8.84415905152284,8.780740985446164,8.835146360730196,8.639075648944695,8.912889336229961,8.725267544510876,8.908723927771499,8.906288199366921
YAL062W,8.502391541587816,8.437359097389772,8.197875599260728,8.500301488434683,8.399910451062297,8.478288056845726,8.182977327037989,8.22697735193313,8.169539809761062,8.456085021346547,8.318856590959372,8.616341405671957,8.519636252843213,8.596193852177727,8.533621991609618,8.53698422845228
YAL061W,9.110606187362356,9.212927683810316,9.46783423863572,9.161797932413336,9.224018045402174,9.123618466061977,8.946823832083178,9.405007053510674,9.16388434281104,9.057346081046939,9.140013129167407,8.80508454169635,9.294620748891628,9.068926422497025,9.366356592067003,9.10092395271514
YAL060W,9.322459304057848,9.485453575624703,9.576118789778166,9.305947933402107,9.280597559876457,9.230525067323994,9.201606718395123,9.337886504325303,9.14804077277743,9.0514805675517,9.282335899425417,8.993298785918965,9.428360172704291,9.294901974737881,9.46975005633524,9.377252770353667
YAL059C-A,9.397016636998522,9.244491189153498,9.322876987389778,9.18932648731971,9.267219464989008,9.361759875800612,9.28592773536735,9.126485020028719,9.182669776414365,9.274324127586626,9.269673242815834,9.29761405093957,9.257387842692651,9.362235874177818,9.374178412766385,9.349656049788848
YAL059W,9.65271216908359,9.646911097065015,9.620694206577426,9.379491520409356,9.528742831126168,9.607248378776307,9.564962865431188,9.601339009633937,9.492228145594108,9.523473647188151,9.598114257960482,9.582018201633895,9.49585502688717,9.600111318061643,9.698789467372032,9.609066750474444
YAL058W,9.38607572096228,9.234046561091798,9.318177346552435,9.17687858677119,9.262732389517812,9.344936450938945,9.274586143199869,9.118232238695377,9.179555808261455,9.264216317494068,9.256898460130051,9.291886814921806,9.257387842692651,9.353133183483223,9.361118385500891,9.341273035028895
YAL056C-A,9.365799301668517,9.413226362162826,9.422575269486904,9.303659745607852,9.306987239779852,9.280041429594572,9.291565270475312,9.267490187742071,9.234604058895968,9.212586906641102,9.44603663387942,9.268747765638956,9.187352073200497,9.323146419696855,9.30766289763974,9.272395360460937
YAL056W,9.35835482672577,9.518534667089934,9.550301085071355,9.257116927980329,9.29605014313175,9.315014979534476,9.370926643267365,9.402743792552215,9.40159275517575,9.362242347019508,9.479412266739255,9.27166052405238,9.35974956032233,9.456625521851521,9.379369499165563,9.407011624773729
YAL055W,9.247872436197742,9.317539978181966,9.282433409915848,9.359803093361373,9.42212158367448,9.293256063734665,9.341335631388365,9.484206347177883,9.433313344145144,9.413446300689827,9.266490136316857,9.200077990786596,9.250298417906333,9.234221172494777,9.46975005633524,9.08092294563069
YAL054C,8.794856087395486,8.744540677483702,8.779490919309735,8.755992523555772,8.724251432904751,8.870927922869441,8.764258262226194,8.83907441887135,8.750734463568726,8.829541239821134,8.508629286681147,8.55549909690063,8.88264304936184,8.682302117262346,8.812220396326357,8.546739005340385
YAL053W,8.781001975903122,8.659677245785648,8.727271705215546,8.600637046216146,8.740478244081185,8.856162688411404,8.780386112374906,8.784490271273258,8.619009518130282,8.822670027157292,8.556328637871886,8.588578809685487,8.873444112515376,8.564996390413553,8.700524416821972,8.466789090617862
