Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,6.107650612995286,6.234956704398366,6.178975581379535,5.755564851639444,5.980671320065125,6.198134947163766,6.08532154572569,6.039105099441208,6.038809214376091,5.790265124359631,5.73159608701032,6.252921198649144,5.9744994909685705,5.985586975029535,5.8065087178603285,6.049206751855503
YAL068W-A,6.343913267112557,6.5424370977805,6.4059073450807755,6.014141705846006,6.270187870989975,6.461331746744341,6.49503733776019,6.404497589451877,6.2935193733415336,5.987180443936027,6.1038283573784575,6.755441088272153,6.331961850950596,6.424318529072147,6.27726704807119,6.445996088194202
YAL068C,6.658919807480314,6.7595657292763,6.857664302687853,6.821592356844903,6.703852653620483,6.727362460558304,7.133123948900295,6.6957974155015805,6.832717484982824,6.949012936299875,6.69394082857251,6.799430509582956,7.19826759775939,6.84966950179341,6.602773612863501,6.660496652963343
YAL067W-A,6.672332902325869,6.79575869087657,6.873735531479239,6.840787608874855,6.717658768346749,6.741582939358555,7.133123948900295,6.717612846161302,6.832717484982824,6.949012936299875,6.717956111157412,6.842118235463159,7.19826759775939,6.84966950179341,6.602773612863501,6.693339355442694
YAL067C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL066W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL065C,7.711453458539973,7.566449952738522,7.9071497138751505,7.862925990518091,7.66164047468174,8.172865939649629,7.894420537331327,7.913369520946833,7.726140613068625,8.091185486560025,7.869566540523987,8.130886000541079,8.111175044085593,7.787939319536931,8.044706330681361,7.636558708216989
YAL064W-B,5.0889576084598565,4.90217649832446,5.173006592128335,4.968100210407637,4.588265111538081,5.591905405032783,5.218666412804434,5.339382548064634,5.087770590685104,5.413545014420705,5.356507340606478,5.528512292326971,5.124574418307798,4.658359416571642,5.018358547588442,4.113128177877278
YAL064C-A,5.006635412132285,4.90217649832446,4.718820422026955,5.672293473268948,4.81067802237834,4.974442717371385,4.851731283920605,5.0263354728065135,4.854455246179886,4.724432158203706,4.932783178256515,4.5073376234470715,5.349760309899938,5.0838187598491364,5.646099977312025,4.734566176180326
YAL064W,3.92200392151477,3.742720746323477,3.0259696672251013,3.334863071516266,3.003015727204689,4.314161528632933,4.542240444697249,4.069938570494758,3.7755876322336377,4.197136415273752,3.718622546102177,2.5891805248057445,3.4999245341873957,3.272267952035182,4.497883295523646,4.295314431856741
