Symbol,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,6.951894033777305,7.568536434365591,8.204546464086672,7.8262084069296884,7.636315905280342,7.756478872702422,7.886444573142422,7.705142585243626,7.548191419456667,7.599673596640281,6.8849222032063855,7.507447393974006,7.689106950867777,7.231253191158019,7.366751960648487
YAL068W-A,7.290475554050721,7.942550199555167,8.603540844446538,8.110973997711492,8.04115904950947,8.12580350471168,8.162911174085709,8.160943809353983,7.991829149506472,7.821003082831471,7.605913154540405,7.88234466252658,8.084758511828369,7.7603024810088055,7.89132066198343
YAL068C,7.564506396051767,8.20917860709043,8.262301258110758,7.419822530118254,7.647400682766277,7.9849792408831615,7.9709850270747955,7.788815468983545,7.945790645356023,7.517648888102411,7.763839266410404,7.607996883685919,7.816388687580716,7.677442217552198,7.758326894063687
YAL067W-A,7.564506396051767,8.22431396394904,8.26795158196184,7.419822530118254,7.669317958090147,8.005958324936515,7.9709850270747955,7.811221875657793,7.972277978140434,7.599673596640281,7.79345113755296,7.629420485244654,7.841811487606383,7.7332077518752005,7.805763358261283
YAL067C,0,0,0,2.033918934545873,0,2.236035397112842,0,0,0,0,0,0,0,0,0
YAL066W,0,0,0,2.033918934545873,0,2.236035397112842,0,0,0,0,0,0,0,0,0
YAL065C,8.918929670621242,9.00680403907869,9.006427831560886,8.852306231243462,8.92457190089529,8.623393980808833,8.51232229719487,8.39552532545212,8.531030346989859,9.03974519813566,8.533673871249226,8.85675470346528,9.01104266740527,8.729813627022198,8.703045418168424
YAL064W-B,5.647340721409237,4.698705952369791,4.902919474721214,4.502464426105296,4.8390508564948504,5.252100255836569,5.197724142263706,4.247840860452908,5.356663726826131,3.5509542188951584,4.556789730985504,4.844343445906391,4.8605098859450795,4.098916008815908,4.024947987320821
YAL064C-A,7.897347744266762,8.13903300351384,8.015961544744968,7.786310026388214,8.057871442700318,7.963690580256623,7.304527369907909,7.580240062729722,7.457354811757027,7.01842521379617,7.269070244691114,7.855324623723087,7.939246384761496,8.05103890512885,8.044181792013712
YAL064W,7.1310946606629555,7.26616563124403,6.532507081818051,6.8520091655436355,6.9152243135455125,7.514432630580394,6.437643490793683,6.988593939810653,6.848167349643463,7.01842521379617,6.646131839992705,6.647228796155737,7.002598682904931,7.211755909244027,7.113865008225265
YAL063C-A,8.791450081993528,9.002420820259063,8.83050348498075,8.793140014093307,8.632685704175925,8.52508878782012,8.363888307024116,8.334955549209326,8.526568982548703,8.884778438573404,8.714820143650078,8.604294628073083,8.93925172509812,8.922033877353831,9.043646512185346
YAL063C,9.543032744224751,9.229421023090627,9.285244831958533,9.116430234943916,9.05931773853004,9.094125179745447,9.160392090763695,8.935867050306033,9.024230818668283,8.851682550485469,9.140566342515378,9.173509883602428,9.041533140885456,9.39369076846591,9.155696302961744
YAL062W,8.529066729179506,8.570664968865938,8.457894366381996,8.622363030385669,8.610200374896559,8.355653230863956,8.540260690040604,8.353394975850945,8.103878750975323,7.75093271772135,8.28537959797031,8.426018066116693,8.572467848541613,8.547408702284756,8.559752071028491
YAL061W,10.518102820635132,10.652778051255481,10.574778131466493,10.395955536772505,10.289628424073499,10.102576772860033,10.056464469208453,9.933372317551521,10.116362366095885,10.281432202763106,10.179093112161697,10.224226636484765,10.392786132722737,10.06879232019892,10.085631023498987
YAL060W,9.97724939151301,10.195952600741819,10.434859788905426,10.185840801461147,10.07037263405374,9.94855382621396,10.046758468440206,9.732010822602318,9.96631667695929,10.023591090012278,9.941875493706355,10.07411636932031,10.18003640468449,10.098291060344222,10.023452419494127
YAL059C-A,9.283547259024074,9.187561221228407,9.043137066726501,9.353319386631084,9.238594824529269,9.361610892847038,9.178282871463647,9.2366588513561,9.09524156079449,9.424392743124281,9.22991073051798,9.460239338906812,9.306395734155695,9.43631463487338,9.459099710312614
YAL059W,9.855040504566341,9.855499470311393,9.846017915369133,9.971300726560127,9.814179387311153,10.017324670921981,10.017242412233353,9.797445463307394,9.840767159900567,10.067492856069425,10.074429088877302,9.841494514032266,9.95390119819472,9.798421888062192,9.881845817824912
YAL058W,9.26446930222468,9.144450470393632,9.019884965457624,9.325749776858967,9.216436105122227,9.345241517825647,9.160392090763695,9.218332205487762,9.092225738687702,9.424392743124281,9.208087978108624,9.42391924112104,9.269401419129599,9.415160109148596,9.444187890101233
YAL056C-A,9.620099876943272,9.71255184509432,9.669426711088093,9.806550449724796,9.809252579950645,9.763835758539978,9.956334486228776,9.554792626279605,9.609324591896664,9.76380200864401,9.540484461173934,9.513060552568803,9.583816292210061,9.517960870241845,9.586793299757806
YAL056W,10.068070478933869,10.235707082955924,10.253086494323073,10.352216118948943,10.228201090487296,10.13150207637025,10.229460141290676,9.880316310299891,10.013310167842558,10.053006867005946,9.9352491608191,9.997923125482837,10.099331891172557,9.973603523621115,10.04447779013703
