Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
methylcitrate,19.134974393155133,15.743795686274662,15.059499381097421,15.166163082646113,13.470341120818096,14.300876838747897,14.103233159837577,14.506204256167342,14.52059822013435,14.35344551774609,15.207116029440565,15.930229126728694,18.44576255206943,14.99360183744572,14.853342048169319,14.637492815756612,14.53024375243209,13.888933465134397,13.999266020679897,14.583023986357576,14.573824673504605,14.660367366809785,15.33102188412237,15.849649439171882
fructose,16.935993734910202,14.74556928996322,14.133142212400601,14.506658830530181,14.490443526075003,14.326054907075829,14.807841239777273,15.036831835112148,14.387074919307222,14.44389323378361,14.377526876194203,20.00557840803143,14.41868716636471,14.664974976187912,14.184281327702383,14.950343255781954,14.176458875015175,14.5290848060255,14.326171973788073,14.900913966435958,16.335047180628166,14.559277497471266,14.495105510007784,14.800546056598119
sucrose,15.219861763301557,16.94133995912042,18.424892080288824,16.17430154446763,19.075011622665166,18.452416879061577,16.928456688671417,16.29058888883922,15.473219527487895,17.017167263114132,19.120559365325704,16.17487368130973,16.068722306421677,15.174613647235942,15.627923307894196,16.30107339404625,16.49819995570627,15.874557170346263,18.943109053144195,15.45681427572721,15.77339680783472,14.93144545409436,15.385031012084559,15.06486904555395
6-phosphogluconate,20.125219215858206,19.393908874719084,18.549640545636393,17.642152785624074,17.859301217628474,18.05821550527507,18.123579202864676,15.992245019994355,17.75987518309982,18.27142047205287,18.745576948953694,19.397955894522973,20.149053260250838,19.19273106670519,18.42801660181922,18.537404216867564,17.599329321219777,17.497480244409815,17.681069084328012,16.755113601289693,18.085596938541794,18.064512975488427,18.40520657223563,18.684628062596346
glycerol,19.007144098496322,19.105148893170306,18.92042652056054,19.37290189315549,19.087904344202045,18.865603400224796,19.16658155836794,21.449773504011564,19.79008488739153,19.146670593899728,19.19518234131781,21.523915409386383,19.379026456258732,19.329224790414536,19.100959995542045,18.81342214256759,18.887763039628325,18.96750115931009,19.132153272532637,21.91432953013259,20.04697786750192,19.494213650276023,19.20993957005976,20.17872036239664
2-hydroxy-isovalerate,17.94649511356228,18.41794520150558,18.782124789643838,19.18686947663012,19.537807368640905,19.397225475411535,19.273337279435747,17.239645141626827,17.084351661354724,16.711048512421836,16.963193373935326,17.4530455169186,18.106170998675765,18.91525599138964,19.238316098338316,19.195663767422253,19.383340777653757,19.57694744122734,19.087928077093007,17.709050147118703,17.33507917488127,17.162033941563536,16.898341580659082,17.650607696569587
glycerol-3-phosphate,14.050415535129265,14.326885875098503,13.956466912764492,14.200898605038445,14.48611223631338,14.309405297370981,14.312150268834722,17.844652646263484,14.762433948219831,14.221461252513393,14.872161830819648,15.191560491729541,14.191599044300682,14.170120666211561,13.90177826503815,14.377255726893651,14.03585870426959,14.553589298489477,15.464418117738564,16.137398120592653,14.389003866183046,14.432607143804477,14.179546297805445,14.803710711827609
myo-inositol,18.89069870345349,19.375037309535312,19.14697961877263,19.426471567013824,19.8086479140762,20.15840711383997,20.211498601738388,19.6920399161061,19.528578109934006,18.376857383943015,18.40169480115632,18.718031109816476,18.31661594128489,18.607280941830535,18.809680218082136,19.058692028741675,19.222004769502988,19.73603741485331,19.82753653847082,19.569659093001636,19.390101065113484,18.50941806920259,17.929495370332063,17.913123156596576
trehalose,26.466086743275625,26.907484661874026,26.85273031808456,26.934834898832165,27.397290697890618,27.799588167683147,27.807400445556528,27.5949645441708,26.90669301987643,26.96659892401252,26.926586481055754,27.040439903768384,26.69974793510412,26.877675452128436,26.86444528717763,27.23377469431631,27.264719908415096,27.886455214739158,27.908057041508204,27.557590422557492,27.17358473900342,27.133026816768858,26.75366241047737,27.03476475582258
succinate,17.724114114944193,17.123040259151402,17.07382079104369,18.340922209898597,17.594356195583067,17.489685965853244,17.502448542471534,18.290966792457134,18.295673287187345,17.969493325391344,18.47797165773395,18.614419892008893,17.908038768683745,17.172528430218094,17.68766500635224,16.816091993101892,17.613218725962668,18.08128231003352,18.595508817924284,18.730377259109222,18.224910799738613,18.54165375678526,18.361712510150955,18.15325183483368
lysine,16.967481458288248,16.30320102841462,15.718969828048824,16.218575848869794,15.247074517032045,15.350801091568734,15.613799054787446,17.394200293539498,17.231433708522932,16.069037118224937,16.695939638265475,16.997973309427554,16.716569418240667,16.28577546406471,15.873548247857972,15.707197337530232,15.211305300398577,15.67487269360508,15.377459093646559,17.04410946867764,17.025453213972973,16.839597483021173,16.988004121379742,17.213733944570087
glucopyranose,13.699102467052354,13.952468259382673,13.429537509249478,14.705992296316976,13.413892328372642,14.257854325100618,14.739147709986453,16.47994337465184,12.99500156108408,12.403633434856562,14.686828772994248,13.674560105541136,12.801034674551715,13.40886043602476,12.780403064478454,14.815833567360828,12.734780172835622,14.258124324938922,14.681293324520828,13.19470556315779,13.287423811683523,12.809701149669992,14.230570901223325,13.226161284939167
glycerate-3-phosphate,19.720353379174583,20.28694461644838,20.184254688138612,19.12358846420004,19.839725872000276,19.884237110224614,19.93323920431048,19.038551990493353,19.57767468524898,19.416590698128548,19.6821396315877,19.93573434236912,19.696545931708894,20.12603957440001,19.92414172765007,20.372369139133674,19.162542945657087,18.905244983518376,19.18930578479145,18.930890343259343,19.683033433104896,19.2754948158545,19.58845723246871,20.089817256724757
aspartate,21.107926664154174,21.894050591896757,21.82873643874672,21.53662018120567,21.83053938445608,21.7499485146104,21.517130946150633,20.448148241056522,20.845882289546925,20.17894238660034,20.085831172660637,20.288573606744766,21.384303505242652,22.088497441549684,21.88727826391816,21.86017703186908,21.725409808026765,21.51704666123061,21.308140128530063,21.025899914712756,20.88394488158032,20.145007102197663,19.969323278375658,20.380515319584905
serine,19.307936012896025,18.730261153106422,18.99900261456115,18.54741924199259,19.106929650386853,19.215202761434,19.31224778486781,20.502233236864473,20.453771996282406,19.810909433977994,19.611405493497568,20.132012657512373,19.49683167711091,19.192325326763093,19.149477554714714,18.667871525774338,18.988397150073435,19.08327068519064,18.878218591368654,20.758049669954904,20.397653396865504,19.729907248597588,19.78487762563326,20.1475134213502
lactate,18.8292602587106,18.79093547773397,18.633493129063655,18.822931758294846,19.259245204254178,18.56150922179606,18.834818727746864,18.938376428942284,19.445394136271513,19.01432474217769,18.697273034532227,20.376561380634648,18.844157123169197,19.098118635759207,18.22198510892688,18.776237028721674,19.166885531016423,19.772066447601063,18.74584170619792,18.945592432898504,19.51820106457577,19.174691662379445,18.43664512866831,18.981754005893457
