Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
methionine(150/104),-10.633514245553267,-10.415817205297135,-10.451003544744584,-10.463537292986112,-10.775038739635173,-10.80531961246884,-10.887017199429744,-10.819977457180944,-10.619447232133732,-10.797102450070406,-10.671879203569585,-10.882570916413105,-11.060025658543488,-10.234601043089887,-10.580013803121863,-10.505366881879235,-10.498907853863626,-10.673002535434241,-10.635875035113132,-10.856100655735089,-10.959479707807878,-10.825569776636407,-10.749292464765324,-10.682684255774188
methionine(150/133),-11.086981331325962,-11.027430834108289,-11.105157257290408,-11.206596645064993,-11.140870991220178,-11.478626569412729,-11.21436063780219,-11.373208599831056,-11.20917897700276,-11.307417788897009,-11.290468244839959,-11.374823043319488,-11.462285884569827,-10.913832205027365,-11.048524715670023,-10.87742841024124,-11.227411869281635,-11.287712379549449,-11.349570849956491,-11.257717639251611,-11.40846453901006,-11.207878205873602,-11.293448749098594,-11.081867803852194
cysteine(122/59)A,-13.702749878828293,-13.793448189120031,-13.79565246004676,-13.922948086751829,-14.280691951871678,-13.946144571168967,-14.15450131668964,-14.24458513166251,-13.575152098051522,-13.78465013247338,-14.277728290976828,-14.25185545761748,-13.976251283713156,-14.114563477232851,-13.806441181870518,-14.037223227034769,-14.378575178180595,-13.62423785064977,-14.105539806465787,-14.033896503745034,-13.907232102306974,-14.15654342158963,-13.909907786469581,-13.327513387607425
cysteine(122/76)A,-13.658694698750358,-13.944228141295639,-13.97437289186759,-13.974506292788307,-14.153411287837859,-13.761083189144621,-14.287712379549449,-13.969370602036559,-13.960952376105269,-13.853691776903032,-13.716170394590614,-13.825677400733436,-13.755861215287856,-13.451598464510422,-14.208589169391487,-14.085264126576694,-14.053059775085478,-14.04908963975557,-13.886349817167682,-13.774978206383473,-13.907232102306974,-14.067307826306894,-13.382660783604711,-13.786945006244721
GSH(308/179)A,-4.483281156514996,-4.1886615640238984,-4.195466741929012,-4.1315080632891945,-4.141873408010156,-4.2626309112035905,-4.243032549715582,-4.302164840065933,-4.380821783940931,-4.308613741606481,-4.327951882515133,-4.234802502644883,-4.198716658706462,-4.119873316124386,-4.042845747821699,-4.135855670868453,-4.024946357130231,-4.034888226042779,-4.127016409973021,-4.092986887721977,-4.333929192357557,-4.181267687950244,-4.152207311017886,-4.041012169489866
GSH(308/76)A,-4.675658249866506,-4.364432823401898,-4.344441348214432,-4.401138848266483,-4.344983331115028,-4.48405540560612,-4.391469028140439,-4.477251546624024,-4.55147413354127,-4.564848315334935,-4.415037499278844,-4.366561090815761,-4.350010636855402,-4.319992889981648,-4.148779192570764,-4.181021986916588,-4.312590230308026,-4.264972210075286,-4.327382524979471,-4.325608441375311,-4.548880599169738,-4.384084570949931,-4.280265455914557,-4.26609970657534
GSSG(613/231)A,-14.075903297070829,-13.838186503885314,-13.644973547549093,-13.455169125401012,-13.738373788559015,-13.973472202385432,-14.187548217624018,-14.338338452619418,-13.849591267157564,-13.971528267196891,-14.132107049424205,-13.548837195374611,-13.804770815768801,-13.462486780653158,-13.67399088584687,-14.040376660073644,-13.813031933843204,-13.79263538234549,-13.819235621309145,-13.881893410299984,-13.907232102306974,-13.424347071571296,-13.505517531390245,-13.378860267607644
GSSG(613/177)A,-14.870998302463223,-14.58464979555911,-14.56158433309231,-15.011562473925398,-14.944824666026442,-14.924021760270826,-14.921584480751552,-14.662845091608556,-14.354383419194738,-15.008841425664947,-14.671041019100954,-14.350193376810774,-14.420530415798005,-14.469059434576643,-13.906968057824484,-14.282102411206866,-14.709008869299975,-14.930963538893462,-15.118392408537849,-14.61654884377899,-14.949823979031443,-14.857975432940547,-14.191734222888616,-13.960689878843839
AMP(348/136),-7.06235754435714,-6.958729527128137,-6.654272805720063,-6.676522378695047,-6.984893107609792,-7.022974114798626,-7.326502142658869,-7.206662276843713,-6.970837512388372,-6.7847187256145745,-6.1150367670911026,-5.792107148358667,-7.444068387770447,-6.730567822968055,-6.424846407832929,-6.8043208619679705,-7.347965955788886,-6.631883548108648,-7.041448554594159,-7.281286110390017,-6.799373767396012,-7.003586317374472,-6.281286110390017,-6.2625495478084305
AMP(348/119),-9.633514245553267,-9.481705140953592,-9.296822797994164,-9.218092283902822,-9.578123224314549,-9.538673953082668,-9.955442340440628,-9.813781191217037,-9.467444138688682,-9.318800057333547,-8.668290408084921,-8.33278908751913,-10.110732620573186,-9.454822365384707,-8.977658384950379,-9.489685259646965,-9.94251450533924,-9.19319478076516,-9.580000590358358,-9.838234234941575,-9.434459747543004,-9.459192847493803,-9.000549702822763,-8.98408510140503
adenosine(268/136),-11.364994300635741,-11.385228885463713,-11.59287226105592,-11.38225801605645,-11.758032314329483,-11.601329560932436,-11.58328621222672,-11.793317088657322,-11.672796656726666,-11.612439107789486,-11.67367695463198,-11.386845571568701,-11.907569670716791,-11.336621980030396,-11.734633939848079,-11.933603878912937,-11.498907853863626,-11.810898682683916,-11.793287425241896,-12.111067780300768,-11.716859478243729,-12.012294249259822,-11.403905397053972,-11.833801988626314
adenosine(268/119),-13.573763438108216,-13.500706102883647,-13.945583338239905,-13.625881115444022,-13.76707745393249,-14.014610277305458,-13.73422811030146,-13.886480679795635,-14.20726938699413,-13.557472648571556,-13.606889863420777,-13.6833444796557,-13.688674693616571,-13.4397154729945,-13.531949189929117,-13.574810490273713,-14.014936579237455,-14.134988118860745,-13.898708382478077,-14.835573253478508,-13.727532979758182,-14.101299255318567,-13.483632589524706,-14.347111302381913
NAD(H)(664/136),-8.296822797994164,-8.078513884522856,-8.145146143070901,-8.057458885314333,-8.286357099937439,-8.079242334445372,-8.1990289840462,-8.036173612553485,-8.414849187741124,-7.878979457124815,-7.864780965978611,-7.813499442355505,-7.834078605450265,-7.743391863325639,-7.636778358534191,-7.683444818170769,-8.117135901446309,-8.036624525212536,-8.024897378330312,-7.713397123027802,-8.175073118724354,-7.960818031768738,-7.716652015373218,-7.7891396854134065
NAD(H)(664/428),-9.251835343220852,-8.947047722080502,-9.101731782691285,-9.015065187433306,-9.150702000579873,-9.015111997025656,-9.096040670613428,-8.92625592047545,-9.324755721520171,-8.787186981205323,-8.794636141950333,-8.680382065799838,-8.744908095773019,-8.663221514641656,-8.53896961760689,-8.717285971986174,-8.936755236050555,-8.94193754270772,-8.987000770571782,-8.636600373771925,-9.04700807993606,-8.801397466761205,-8.728745087361238,-8.607936615519781
thiamine(265/122)A,-10.034497034746101,-9.69116190455308,-9.929025734651969,-9.806880689311027,-10.225304206319644,-10.183141116101236,-10.257387842692651,-10.123325561648567,-10.21954087690787,-10.095664567208997,-10.380821783940931,-10.127373426936336,-9.983271711390929,-9.90882839985001,-9.801248512650197,-9.875018820738905,-10.124046368578819,-10.219168520462162,-10.371776644337924,-10.194315843095941,-10.799848566933374,-10.150999157128995,-10.271720346781548,-9.995531628056138
thiamine(265/144)A,-12.121520096983467,-11.79620405441054,-11.815643935234228,-11.973711200433716,-12.079210345996442,-12.116666838213222,-12.44181241383008,-12.163840721387281,-12.580843210129377,-12.062592745603348,-12.36488024007191,-12.40199580704534,-12.004540328144579,-12.015027803681937,-12.171490545317686,-11.81640666062386,-11.999910068566713,-12.699525977954007,-12.21257804948867,-12.296930909578828,-13.059235195752024,-12.25761034776003,-12.147704900804351,-12.16545662949845
riboflavin(377/243),-14.6989078125339,-14.839122320559579,-14.54618719375579,-14.85236242484835,-14.734185572375115,-14.385517165021248,-15.177834761777076,-14.507435614109912,-14.826997305875961,-14.241489362788803,-14.321135381086899,-14.503731965865654,-14.694288300080098,-14.671041019100954,-14.22976503034017,-14.890135850336828,-14.47000593842218,-14.282911393285628,-15.736129003446566,-14.393322567510047,-14.201861003477743,-14.174839720336537,-14.828697183210004,-15.275639547248874
riboflavin(377/172),-15.426948176920622,-15.623854333656512,-15.695158545622869,-15.733215159555344,-15.722408404598761,-15.934602629413808,-16.548672457145386,-15.668057160662133,-15.560058445586252,-16.32624698096844,-15.357661257112014,-15.490699401713304,-15.420978910412913,-15.158979065427246,-15.80566819177386,-16.307370905319917,-15.817445359550213,-16.024677973715654,-16.350120552779256,-15.561943732405515,-15.350120552779254,-15.504147345589498,-15.73517135652067,-15.769748617518918
carnitine(162/103),-13.66518646587181,-13.674735502658697,-13.762797262498232,-13.483436850423818,-13.354310128278474,-13.697103315687151,-13.384285639244503,-13.209709867548176,-14.120255633697887,-13.977011540085341,-14.683061543906181,-14.905736900992148,-13.420978910412913,-13.426418650381041,-13.490529262549137,-13.424131577776045,-13.372245889761118,-13.916618227858203,-13.503101413148135,-13.588578858908981,-14.197897553070401,-14.382281800207014,-14.338992884493143,-13.92514230016474
guanine(152/135),-11.829224624237208,-12.11464767057657,-12.001511989136613,-11.948660106870879,-11.803836003942608,-11.958528468659289,-11.66518646587181,-12.095067301607054,-12.238130350698889,-12.134032708297015,-12.260439449399346,-12.163591067720262,-12.298359623748958,-12.330416830503687,-12.281811778109764,-12.158119472142355,-12.040402326008673,-11.8771903613931,-12.21732305165805,-11.816207928611577,-12.166575942047814,-12.258168103935434,-12.125440950650573,-12.545905522313744
guanine(152/110),-12.955442340440628,-13.297172708798515,-13.395426196849703,-12.902590458174894,-13.021066720163276,-13.17130288743414,-12.821690951551801,-13.346129065774772,-13.627404753912652,-13.25454551561425,-13.343855457586983,-13.645299606644393,-13.444437883236903,-12.819563543811043,-12.97052220366875,-13.030111859766283,-13.132194801928163,-12.663221514641656,-13.01070503116305,-13.095067301607054,-13.186072117673612,-13.058230533426682,-13.444813340634179,-12.92514230016474
cGMP(346/152),-14.659803269174907,-14.46828462519127,-15.310729032274422,-14.541303344673658,-15.247070395052104,-14.449175802243566,-14.651765950109489,-14.93228436940876,-14.795097221409675,-14.473662804917836,-14.061862894049305,-15.11378544754964,-14.446804897780819,-14.51653107004533,-14.583275770437412,-14.77313920671969,-14.700405938359994,-14.709176147987726,-14.812854794089395,-14.64958985448452,-15.153083705719702,-14.818006010500975,-14.961211554872262,-15.138136023498939
cGMP(346/135),-15.883091496215943,-15.483324024655412,-16.014336029494196,-15.466276299265635,-15.758032314329483,-15.776537783181556,-15.722956997966442,-15.570112110250175,-16.589602721200265,-15.416296585610862,-16.006438855430613,-15.609640474436812,-14.772290812081371,-15.397589997321823,-15.597863306660457,-15.937002455374802,-15.367279636867767,-15.07773921746707,-15.862182506452964,-15.219056018882506,-15.512915702975091,-16.440821410220668,-15.353300721177026,-16.334533236302445
spermine(203/112),-15.588160747026361,-15.160739523291683,-15.61483938111113,-15.593580623540712,-15.72828497093543,-15.94061370892718,-15.247872115017659,-15.624140044131927,-15.737796825927495,-15.426110875437818,-15.7301741397443,-15.183375719734714,-16.685876060263897,-14.985149609529017,-15.691254239990464,-15.653695654514747,-16.581071322240042,-15.418498987084803,-15.211817530510167,-16.20983748885313,-16.100342243647727,-15.359097012786215,-15.879561265855845,-15.561943732405515
pyridoxal-phosphate(248/150),-11.4265138746338,-10.939620704180433,-11.029442921884405,-11.137055711811916,-11.190709972744058,-11.202390565218236,-11.19233433147219,-10.995865623899947,-11.16218149746559,-10.841558755900168,-10.952628919579208,-10.618827395283203,-10.8974169543559,-10.872674880270605,-10.650493641696869,-11.059906462026637,-11.169530953201136,-11.177794687471414,-11.210818780009298,-10.836016409691757,-10.87596945818304,-11.238802779068504,-10.834539751383835,-10.690677046527718
pyridoxal-phosphate(248/94),-12.930920021306559,-12.550746785383243,-12.814196415004876,-12.878068139040824,-12.635635682969756,-12.714924592774395,-12.906807565189752,-12.628367682505717,-12.54671690834709,-12.368202297409818,-12.349591827136127,-12.221623189091677,-12.20024953829911,-12.361712960993227,-12.24116979361242,-12.656494287867421,-12.770795266251392,-12.655444164049937,-12.699243935326757,-12.388114276507286,-12.45500712494709,-12.634731455399642,-12.364125495068617,-12.154624146287508
UMP(325/97),-11.625293738748297,-11.994353436858859,-11.499762856664438,-11.935949055121323,-11.94639003386878,-12.089773001937541,-12.748441969521162,-12.310795992662491,-12.18548887095766,-12.338937702904623,-11.907507452062728,-11.576905945850099,-12.225428101295106,-11.927816434463066,-10.750844167029339,-11.298600695692185,-11.881498730657611,-11.802285552379209,-11.815888854179029,-11.87874939468029,-12.357838465940091,-12.248452949102223,-11.76514641596616,-11.706796711890995
UMP(325/213),-15.524010402911115,-15.327869506021432,-14.74273961015698,-15.14045428827378,-15.943823721230816,-16.0206424604805,-15.889377759063375,-15.510104800885898,-15.69269621416437,-15.466049620807961,-15.529321309925074,-15.576217472899362,-16.127247707356204,-15.154587296310089,-14.765590752398525,-14.548578948700532,-15.194602975157968,-15.48310806850788,-15.503101413148135,-16.1915752824604,-15.9729629371715,-16.956659550287004,-15.30151817907448,-15.797099105663872
N-acetyl-glucosamine(222/138),-16.028141829019226,-15.867028317129463,-15.61483938111113,-15.274850228612399,-15.23447035827247,-15.295004872115806,-15.558656545718007,-14.886480679795635,-15.326568315366472,-16.02095488767294,-16.59528518145974,-16.166696978588085,-15.832917171032872,-15.158979065427246,-16.1141130572976,-16.426518170612923,-15.276030574501814,-15.356659733266941,-15.498219191768388,-15.1915752824604,-15.45500712494709,-15.739701015001184,-15.364753415313277,-16.237671697049855
