Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,5.822743132102238,5.829042723861045,5.8616265577924835,5.54594509350302,5.586978173363894,5.879712337063147,5.702549881517084,5.921131861973278,5.771341071652146,5.565939159701161,5.398511696308063,5.727379758729724,5.698722406172793,5.533219219690613,5.384770853786229,5.723781490382021
YAL068W-A,5.298114962902615,5.274169725656729,5.198365137146094,4.481276221718587,5.001994244130493,4.766061486169628,5.243680668064525,5.422156137105558,5.330332289466859,4.631111083312708,4.974433904592033,5.952851497825885,4.683543718984524,4.936641912383686,4.6706435553554355,5.723781490382021
YAL068C,6.583523864039613,6.6457384311109795,6.807954007833699,6.770858324142578,6.601950163931394,6.72573749014109,7.0700179563482175,6.679098981239313,6.722782718231501,6.89131684121406,6.63627117353663,6.809027929962513,7.144309264363204,6.814162388097719,6.503315789730341,6.60919538987273
YAL067W-A,2.7552672196056034,3.429406369406755,2.2917123037791773,2.4781757418817127,3.0018013731963396,2.4244712430291466,2.7387945806892056,2.0777088019340284,3.6746988357921335,2.7959807607115406,2.671609916166065,3.0302786029241284,3.738620822193718,2.1652057829331453,3.484810861912207,1.7470585609567577
YAL067C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL066W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL065C,6.314834567128623,6.02736260444344,6.491325510628175,6.326370043353342,6.046421480146448,6.6649294733544835,6.38005916211731,6.432393445665087,6.1884096004986064,6.706579011905329,6.471396089609298,6.8984457537726485,6.706252280815985,6.46160387821757,6.470518717614199,5.84703567141365
YAL064W-B,0,0,0.7219368020712655,0,1.001029631511077,0,0,0,0,0,0,1.481515242043558,0,0,1.603617480030647,0
YAL064C-A,2.946806886240437,2.996574007130756,2.2917123037791773,3.544463640010138,2.0015441718349947,3.4367914526477588,1.9401900098541203,3.617624035336583,3.3440513545270223,2.5250724477946,2.671609916166065,3.7598940846127245,3.359166883816608,2.1652057829331453,2.8312958876966143,3.3822438156910972
YAL064W,2.5343473637203617,2.7191439691902435,1.8470265171433253,2.8269855768117167,1.5863351795042506,2.09634336321611,3.249852698214953,3.617624035336583,2.9143634047873324,3.220800593756496,2.1956411062361645,1.481515242043558,2.4933245038852836,2.1652057829331453,3.726205945146686,2.5143671124586184
YAL063C-A,2.946806886240437,2.375349457334759,2.774956449859316,2.4781757418817127,2.809119555009558,3.2834246311436464,1.9401900098541203,3.7955021239245155,3.6746988357921335,3.815479544659414,3.315034275815427,3.9391653554322024,3.738620822193718,2.1652057829331453,3.9329405447251067,3.920332254413306
YAL063C,5.432281207440563,5.3746897994752505,5.496936820963266,5.637123199471822,5.287408001461962,5.825177774510463,5.8517799531392285,5.526665998911433,5.62609513582225,5.889018033507859,4.799967424517614,6.25326286798912,5.6551960626642215,5.781942251379412,5.453514956659608,5.359819531809239
YAL062W,7.50161700932719,7.587065495194262,7.687961884189798,7.754088838853664,7.377085568073639,7.748513455809445,7.371372314442212,7.437484986857829,7.524271923635519,7.674686611207166,7.548501800329559,7.903229189554463,7.822492274385192,7.4676695656323115,7.495342252921479,7.670154796660372
YAL061W,9.270058753557366,9.284725594016543,9.3321491156834,9.045200783249705,9.070832976039496,9.10983239966038,8.829754122369028,8.943270304631126,8.929251905892484,8.946170613745094,9.200341586690033,9.383228493054805,9.293916374372287,9.116768499422578,9.064013776811446,9.227882171827984
YAL060W,9.236060387689285,9.384537642159371,9.321938296593473,9.187744003135053,9.221223597726164,9.258719358084878,9.186609954065778,9.444630524501164,9.372302745146047,9.386339516285723,9.400891509912032,9.428964667478569,9.308038133035499,9.369521263546998,9.02501820353098,9.233541486381444
YAL059C-A,7.6188289792419175,7.576551422220074,7.374572567093164,7.534504903099199,8.201723876726398,8.214094800920838,8.064639391964999,8.015186536614037,8.15375662854169,8.043138268666217,7.7297905282644,7.9973118614284955,7.479874785502092,7.715057611825816,7.6202066801218855,7.415191670116544
YAL059W,7.3402929968517014,7.259143850345874,6.857270507235469,7.0779883947264945,7.822228389059988,7.8814034759417755,7.489979564879367,7.503001321939112,7.802996201358751,7.732289822416658,7.356957210572025,7.4793715995765915,7.07992692619153,7.318148099874726,7.1875709269186485,6.9489536480012015
YAL058W,8.583057033816715,8.742271427989197,8.560902190897968,8.633843367014363,8.712860052950447,8.908162471804937,8.727228606693485,8.702365929021129,8.638682424724841,8.611002347763305,8.502529984891321,8.559980859378134,8.657762781787659,8.711620465484566,8.51565586628402,8.64128655913489
