Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,8.289506439325427,8.534761296841086,8.617407918683751,8.319510155546302,8.303389915890094,8.286225798967077,8.242069890816339,8.117652543349159,8.311999197088081,8.403979183685186,8.338023394308843,8.81971940679781,8.44995382993264,8.953441269022214,8.547322726760076,8.362667294982812
YAL068W-A,7.280733889760987,7.619749607326394,7.052731079787467,7.0864541430917125,7.346183963179909,7.141488768701187,7.4217659433776735,7.075488555307272,7.218287925324053,7.3255229075352375,7.4363760885357735,8.276552633543252,7.586896225915487,8.340071387884386,7.500226587800332,7.3094543152894245
YAL068C,7.253603819856337,7.845596653956648,7.603572572583237,7.2560691223543445,7.298230345100727,7.435051160492348,7.035095282525208,6.768193713917965,7.06520926156392,7.429231914251965,6.919598785640705,8.303333397842273,7.380253459822428,7.8115340173821615,7.608424093358506,7.14798563674845
YAL067W-A,4.651912968119251,4.9083481062903696,4.8821407164236215,3.90751797103954,4.893619491043821,4.9419120618825225,4.4417601089536065,4.80736405970459,4.16908772141089,3.9949120866691863,5.698642708701452,5.45923500852895,4.914330587882666,5.124590117385114,4.920525697870957,4.254581699799636
YAL067C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL066W,0,0,0,0.7967518103867711,0,0,0,0,0,0,0,0,0,0,0,0
YAL065C,7.27174710129736,7.389356520231345,7.455323909515912,7.3503275834934225,7.298230345100727,7.470039687416425,7.603627990905636,7.2980719835831,7.628474552024657,7.587057466608725,7.486017980585616,7.6162990143809814,7.551459903287001,7.3644319216823515,6.857611096098938,7.038818291527957
YAL064W-B,0.9749698771416366,0,1.1290007752035425,0,0,0,0,0,0,1.9959311058203326,0,0,0,1.0905448665391604,0,0
YAL064C-A,6.856816650287614,6.495716977433861,6.671026206580698,6.292864127487018,6.463357642313136,6.96876879353982,6.874434163442499,6.768193713917965,7.1076443360575,7.005841663217512,6.751162643452312,7.215037997126096,7.1027202121244155,6.929095749582665,6.670587360301124,6.118429951684634
YAL064W,6.868785753294881,6.790121826585399,7.176280110647519,7.094258566932495,7.346183963179909,7.362420715564295,7.0726127997414725,7.348737572173069,6.976400414798051,6.814799338844174,6.990108836151056,6.969634161323632,7.09042697152373,6.929095749582665,6.961707393889064,6.409038566182475
