"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0000001"	22	"mitochondrion inheritance"	"The distribution of mitochondria, including the mitochondrial genome, into daughter cells after mitosis or meiosis, mediated by interactions between mitochondria and the cytoskeleton."	"YAL048C,YDL006W,YDL029W,YDL239C,YDR150W,YGL055W,YGR132C,YGR231C,YHR194W,YIL062C,YLL001W,YLR190W,YML104C,YMR072W,YMR275C,YNL304W,YOL009C,YOL076W,YOR147W,YOR326W,YPR083W,YPR131C"
"GO:0000002"	39	"mitochondrial genome maintenance"	"The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome."	"YAL010C,YBR163W,YBR192W,YCR028C-A,YDL142C,YDL198C,YDR065W,YDR077W,YDR258C,YDR296W,YFL016C,YFL036W,YGL219C,YGR144W,YGR150C,YHR031C,YIR021W,YJL112W,YJL143W,YJR118C,YJR144W,YKL011C,YLL006W,YLR059C,YLR091W,YLR259C,YLR304C,YLR355C,YML061C,YMR072W,YMR211W,YMR241W,YMR302C,YNL213C,YOL009C,YOL095C,YOR211C,YPR100W,YPR116W"
"GO:0000011"	17	"vacuole inheritance"	"The distribution of vacuoles into daughter cells after mitosis or meiosis, mediated by interactions between vacuoles and the cytoskeleton."	"YBR097W,YCL063W,YDR323C,YDR495C,YEL013W,YFL039C,YGL095C,YGR209C,YHL007C,YLR043C,YML001W,YML097C,YNL054W,YNL298W,YOR036W,YOR089C,YOR326W"
"GO:0000012"	1	"single strand break repair"	"The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair."	"YOR258W"
"GO:0000017"	1	"alpha-glucoside transport"	"The directed movement of alpha-glucosides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Alpha-glucosides are glycosides in which the sugar group is a glucose residue, and the anomeric carbon of the bond is in an alpha configuration."	"YBR298C"
"GO:0000018"	1	"regulation of DNA recombination"	"Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents."	"YLR234W"
"GO:0000019"	4	"regulation of mitotic recombination"	"Any process that modulates the frequency, rate or extent of DNA recombination during mitosis."	"YER171W,YIL143C,YNL088W,YOL006C"
"GO:0000022"	12	"mitotic spindle elongation"	"The cell cycle process in which the distance is lengthened between poles of the mitotic spindle. Mitotic spindle elongation begins during mitotic prophase and ends during mitotic anaphase B."	"YBL031W,YBL063W,YCL029C,YDL064W,YDR356W,YEL061C,YFL037W,YGR140W,YHR127W,YJR089W,YKR088C,YOR058C"
"GO:0000023"	14	"maltose metabolic process"	"The chemical reactions and pathways involving the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose), an intermediate in the catabolism of glycogen and starch."	"YBR297W,YBR298C,YBR299W,YDL247W,YGR287C,YGR288W,YGR289C,YGR292W,YIL172C,YJL216C,YJL221C,YJR160C,YKL048C,YOL157C"
"GO:0000025"	7	"maltose catabolic process"	"The chemical reactions and pathways resulting in the breakdown of the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose)."	"YBR299W,YGR287C,YGR292W,YIL172C,YJL216C,YJL221C,YOL157C"
"GO:0000027"	35	"ribosomal large subunit assembly"	"The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."	"YCR072C,YDR060W,YDR312W,YDR418W,YEL054C,YFL002C,YGL099W,YGR085C,YHR066W,YHR197W,YIL110W,YIL148W,YIR012W,YIR026C,YKL009W,YKL021C,YKR081C,YKR094C,YLL008W,YLR075W,YLR106C,YLR221C,YLR340W,YLR448W,YML073C,YNL182C,YOL077C,YOL080C,YOL127W,YOR063W,YPL131W,YPL143W,YPL146C,YPL193W,YPR102C"
"GO:0000028"	23	"ribosomal small subunit assembly"	"The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the small ribosomal subunit."	"YBR048W,YCL031C,YCR031C,YCR057C,YDR025W,YDR447C,YGR159C,YGR214W,YHR021C,YJL191W,YJR113C,YJR123W,YKL156W,YLR048W,YLR167W,YLR264W,YML024W,YNL302C,YNR037C,YOL040C,YOL121C,YOR167C,YOR369C"
"GO:0000032"	19	"cell wall mannoprotein biosynthetic process"	"The chemical reactions and pathways resulting in the formation of cell wall mannoproteins, any cell wall protein that contains covalently bound mannose residues."	"YBR199W,YBR205W,YCL005W-A,YDL055C,YDR245W,YDR483W,YEL036C,YER003C,YIL085C,YJL139C,YJL184W,YJR075W,YKR061W,YLR020C,YML115C,YNL029C,YOR099W,YPL050C,YPL053C"
"GO:0000038"	3	"very long-chain fatty acid metabolic process"	"The chemical reactions and pathways involving a fatty acid which has a chain length greater than C22."	"YBR041W,YDL015C,YMR272C"
"GO:0000041"	2	"transition metal ion transport"	"The directed movement of transition metal ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver."	"YLL051C,YLR214W"
