"id"	"geneNum"	"description"	"gene"
"sce00010"	55	"Glycolysis / Gluconeogenesis"	"YAL038W,YAL054C,YBR019C,YBR145W,YBR196C,YBR221C,YCL040W,YCR012W,YCR105W,YDL021W,YDL080C,YDL168W,YDR050C,YDR516C,YER073W,YER178W,YFL018C,YFR053C,YGL253W,YGL256W,YGR087C,YGR192C,YGR240C,YGR254W,YHR174W,YJL052W,YJR009C,YKL060C,YKL127W,YKL152C,YKR097W,YLR044C,YLR134W,YLR153C,YLR377C,YLR446W,YMR083W,YMR099C,YMR105C,YMR110C,YMR169C,YMR170C,YMR205C,YMR278W,YMR303C,YMR318C,YMR323W,YNL071W,YOL056W,YOL086C,YOR347C,YOR374W,YOR393W,YPL061W,YPL281C"
"sce00020"	31	"Citrate cycle (TCA cycle)"	"YBR218C,YBR221C,YCR005C,YDL066W,YDL078C,YDR148C,YDR178W,YER178W,YFL018C,YGL062W,YGR244C,YIL125W,YJL045W,YKL085W,YKL141W,YKL148C,YKR097W,YLL041C,YLR164W,YLR174W,YLR304C,YMR118C,YNL009W,YNL037C,YNL071W,YNR001C,YOL126C,YOR136W,YOR142W,YPL262W,YPR001W"
"sce00030"	28	"Pentose phosphate pathway"	"YBL068W,YBR117C,YBR196C,YCR036W,YCR073W-A,YDR248C,YER099C,YGR043C,YGR240C,YGR248W,YGR256W,YHL011C,YHR163W,YHR183W,YJL121C,YKL060C,YKL127W,YKL181W,YLR354C,YLR377C,YMR105C,YMR205C,YMR278W,YNL241C,YNR034W,YOL061W,YOR095C,YPR074C"
"sce00040"	12	"Pentose and glucuronate interconversions"	"YCR105W,YDL246C,YDR109C,YGR194C,YHL012W,YHR104W,YJL121C,YJR153W,YJR159W,YKL035W,YLR070C,YMR318C"
"sce00051"	23	"Fructose and mannose metabolism"	"YCL040W,YDL055C,YDL246C,YDR050C,YDR516C,YEL070W,YER003C,YFL045C,YFL053W,YFR053C,YGL253W,YGR240C,YIL107C,YJL155C,YJR159W,YKL060C,YLR345W,YLR377C,YLR446W,YML070W,YMR205C,YNR073C,YOL136C"
"sce00052"	24	"Galactose metabolism"	"YBR018C,YBR019C,YBR020W,YBR299W,YCL040W,YDR009W,YDR516C,YFR053C,YGL253W,YGR240C,YGR287C,YGR292W,YHL012W,YIL162W,YIL172C,YJL216C,YJL221C,YKL035W,YKL127W,YLR446W,YMR105C,YMR205C,YMR278W,YOL157C"
"sce00053"	11	"Ascorbate and aldarate metabolism"	"YBR149W,YCR105W,YER073W,YML086C,YMR041C,YMR110C,YMR169C,YMR170C,YMR318C,YOR374W,YPL061W"
"sce00061"	13	"Fatty acid biosynthesis"	"YBR026C,YER015W,YER061C,YHR067W,YIL009W,YKL055C,YKL182W,YMR207C,YMR246W,YNR016C,YOR221C,YOR317W,YPL231W"
"sce00062"	8	"Fatty acid elongation"	"YBR026C,YBR159W,YCR034W,YDL015C,YJL097W,YJL196C,YJR019C,YLR372W"
"sce00071"	20	"Fatty acid degradation"	"YBR145W,YDL168W,YER015W,YER073W,YGL205W,YGL256W,YIL009W,YIL160C,YLR284C,YMR083W,YMR110C,YMR169C,YMR170C,YMR246W,YMR303C,YOL086C,YOR317W,YOR374W,YPL028W,YPL061W"
"sce00100"	18	"Steroid biosynthesis"	"YCR048W,YGL001C,YGL012W,YGR060W,YGR175C,YHR007C,YHR072W,YHR190W,YKL140W,YKR089C,YLR056W,YLR100W,YML008C,YMR015C,YMR202W,YNL280C,YNR019W,YOR081C"
"sce00130"	10	"Ubiquinone and other terpenoid-quinone biosynthesis"	"YBR052C,YCR004C,YDR032C,YDR538W,YGL202W,YGR255C,YML110C,YNR041C,YOL096C,YOR125C"
"sce00190"	79	"Oxidative phosphorylation"	"Q0045,Q0080,Q0085,Q0105,Q0110,Q0115,Q0120,Q0130,Q0250,Q0275,YBL045C,YBL099W,YBR011C,YBR039W,YBR127C,YCL005W-A,YDL004W,YDL067C,YDL085W,YDL185W,YDR178W,YDR298C,YDR322C-A,YDR377W,YDR529C,YEL024W,YEL027W,YEL039C,YEL051W,YER141W,YFR033C,YGL008C,YGL187C,YGL191W,YGR020C,YGR183C,YHR001W-A,YHR026W,YHR039C-A,YHR051W,YIL111W,YJL045W,YJL166W,YJR048W,YJR121W,YKL016C,YKL080W,YKL141W,YKL148C,YKL192C,YLL009C,YLL041C,YLR038C,YLR164W,YLR295C,YLR395C,YLR447C,YML081C-A,YML120C,YMR054W,YMR118C,YMR145C,YMR256C,YMR267W,YNL052W,YOL077W-A,YOR020W-A,YOR065W,YOR270C,YOR332W,YPL036W,YPL078C,YPL132W,YPL172C,YPL234C,YPL271W,YPR020W,YPR036W,YPR191W"
"sce00220"	17	"Arginine biosynthesis"	"YAL062W,YBR208C,YDL215C,YDR111C,YER069W,YHR018C,YJL071W,YJL088W,YKL106W,YLR027C,YLR089C,YMR062C,YOL058W,YOL140W,YOR375C,YPL111W,YPR035W"
"sce00230"	57	"Purine metabolism"	"YAR015W,YBL068W,YBR111C,YBR242W,YCL050C,YDL166C,YDL238C,YDR226W,YDR305C,YDR399W,YDR408C,YDR441C,YDR454C,YDR530C,YER005W,YER070W,YER099C,YER170W,YGL101W,YGL234W,YGL248W,YGR061C,YGR180C,YHL011C,YHR201C,YHR216W,YIL066C,YIR027C,YIR029W,YIR032C,YJL005W,YJL026W,YJR010W,YJR069C,YJR105W,YKL001C,YKL067W,YKL127W,YKL181W,YLR028C,YLR209C,YLR359W,YLR432W,YML022W,YML035C,YML056C,YMR105C,YMR120C,YMR217W,YMR278W,YMR300C,YNL141W,YNL220W,YOL061W,YOR128C,YOR155C,YOR360C"
"sce00240"	31	"Pyrimidine metabolism"	"YBL039C,YBR242W,YBR252W,YDR020C,YDR400W,YEL021W,YER005W,YER070W,YGL101W,YGR180C,YHR128W,YHR144C,YIL066C,YJL026W,YJL130C,YJR057W,YJR103W,YJR109C,YKL024C,YKL067W,YKL216W,YLR245C,YLR420W,YML106W,YMR226C,YMR271C,YNR012W,YOR074C,YOR111W,YOR303W,YPR062W"
"sce00250"	32	"Alanine, aspartate and glutamate metabolism"	"YAL062W,YBR006W,YDL171C,YDL215C,YDR111C,YDR321W,YFL030W,YGR019W,YGR124W,YHR018C,YHR037W,YJL130C,YJR109C,YKL104C,YKL106W,YLR027C,YLR089C,YLR155C,YLR157C,YLR158C,YLR160C,YLR351C,YLR359W,YMR084W,YMR250W,YMR300C,YNL220W,YOL058W,YOR303W,YOR375C,YPR035W,YPR145W"
"sce00260"	30	"Glycine, serine and threonine metabolism"	"YAL012W,YAL044C,YBR263W,YCL064C,YCR053W,YDL021W,YDR019C,YDR158W,YDR232W,YEL046C,YER026C,YER052C,YER081W,YER086W,YFL018C,YFL030W,YGL026C,YGL196W,YGR155W,YGR205W,YGR208W,YHR025W,YIL074C,YJR139C,YKL152C,YLR058C,YMR189W,YMR226C,YOL056W,YOR184W"
"sce00261"	3	"Monobactam biosynthesis"	"YDR158W,YER052C,YJR010W"
