"id"	"geneNum"	"description"	"gene"
"109581"	19	"Apoptosis"	"YBR089C-A,YDL002C,YDL072C,YDL225W,YDR174W,YDR218C,YEL039C,YGR059W,YHR102W,YHR107C,YJR048W,YJR076C,YKL032C,YKR001C,YKR087C,YLL001W,YLR314C,YMR072W,YOR211C"
"109582"	49	"Hemostasis"	"YAL024C,YBL007C,YBL105C,YBR025C,YBR109C,YBR179C,YBR204C,YCR038C,YDR164C,YDR168W,YDR288W,YDR323C,YEL061C,YER020W,YER170W,YFL039C,YGL006W,YGR152C,YHR042W,YIL033C,YIL034C,YIL043C,YJL164C,YJR104C,YKL007W,YKL094W,YKL166C,YKL209C,YKR019C,YLR113W,YLR229C,YLR310C,YLR422W,YML085C,YML124C,YMR006C,YMR008C,YMR092C,YMR183C,YMR197C,YNL012W,YNL233W,YOL011W,YOL100W,YOR301W,YOR360C,YPL203W,YPL232W,YPR031W"
"109606"	8	"Intrinsic Pathway for Apoptosis"	"YDL225W,YDR218C,YEL039C,YGR059W,YHR107C,YJR048W,YJR076C,YLR314C"
"109704"	3	"PI3K Cascade"	"YHR205W,YKL126W,YOL100W"
"110056"	4	"MAPK3 (ERK1) activation"	"YBL016W,YDL159W,YGR040W,YHR030C"
"110312"	14	"Translesion synthesis by REV1"	"YAR007C,YBR087W,YBR088C,YIL139C,YIL148W,YJR068W,YKR094C,YLR167W,YNL290W,YNL312W,YOL094C,YOR217W,YOR346W,YPL167C"
"110313"	26	"Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template"	"YAR007C,YBR087W,YBR088C,YBR170C,YBR278W,YDL126C,YDR069C,YDR121W,YDR419W,YER144C,YGR048W,YIL139C,YIL148W,YJL065C,YJL197W,YJR068W,YKR094C,YLR167W,YNL262W,YNL290W,YNL312W,YOL094C,YOR217W,YOR346W,YPL167C,YPR175W"
"110314"	17	"Recognition of DNA damage by PCNA-containing replication complex"	"YAR007C,YBL067C,YBR087W,YBR088C,YDL122W,YER098W,YIL148W,YIL156W,YJR068W,YKR094C,YKR098C,YLR167W,YNL290W,YNL312W,YOL087C,YOL094C,YOR217W"
"110320"	15	"Translesion Synthesis by POLH"	"YAR007C,YBR087W,YBR088C,YBR170C,YDL126C,YDR419W,YGR048W,YIL148W,YJR068W,YKR094C,YLR167W,YNL290W,YNL312W,YOL094C,YOR217W"
"110329"	3	"Cleavage of the damaged pyrimidine "	"YML021C,YML060W,YOL043C"
"110330"	1	"Recognition and association of DNA glycosylase with site containing an affected purine"	"YML060W"
"110331"	1	"Cleavage of the damaged purine"	"YML060W"
"111457"	8	"Release of apoptotic factors from the mitochondria"	"YDL225W,YDR218C,YEL039C,YGR059W,YHR107C,YJR048W,YJR076C,YLR314C"
"111471"	8	"Apoptotic factor-mediated response"	"YDL225W,YDR218C,YEL039C,YGR059W,YHR107C,YJR048W,YJR076C,YLR314C"
"111885"	13	"Opioid Signalling"	"YBL016W,YBR109C,YER020W,YGL179C,YIL033C,YJL164C,YKL166C,YMR006C,YMR008C,YNL012W,YOL011W,YPL203W,YPL268W"
"111931"	4	"PKA-mediated phosphorylation of CREB"	"YIL033C,YJL164C,YKL166C,YPL203W"
"111932"	2	"CaMK IV-mediated phosphorylation of CREB"	"YBR109C,YGL179C"
"111933"	6	"Calmodulin induced events"	"YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YPL203W"
"111995"	5	"phospho-PLA2 pathway"	"YBL016W,YMR006C,YMR008C,YNL012W,YOL011W"
"111996"	11	"Ca-dependent events"	"YBL016W,YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YMR006C,YMR008C,YNL012W,YOL011W,YPL203W"
"111997"	6	"CaM pathway"	"YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YPL203W"
"112040"	13	"G-protein mediated events"	"YBL016W,YBR109C,YER020W,YGL179C,YIL033C,YJL164C,YKL166C,YMR006C,YMR008C,YNL012W,YOL011W,YPL203W,YPL268W"
"112043"	13	"PLC beta mediated events"	"YBL016W,YBR109C,YER020W,YGL179C,YIL033C,YJL164C,YKL166C,YMR006C,YMR008C,YNL012W,YOL011W,YPL203W,YPL268W"
"112310"	4	"Neurotransmitter release cycle"	"YBR006W,YGR019W,YJR001W,YML042W"
"112311"	1	"Neurotransmitter clearance"	"YER073W"
"112313"	1	"Neurotransmitter uptake and metabolism In glial cells"	"YPR035W"
"112314"	7	"Neurotransmitter receptors and postsynaptic signal transmission"	"YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YLR248W,YPL203W"
"112315"	13	"Transmission across Chemical Synapses"	"YBR006W,YBR109C,YER073W,YGL179C,YGR019W,YIL033C,YJL164C,YJR001W,YKL166C,YLR248W,YML042W,YPL203W,YPR035W"
"112316"	14	"Neuronal System"	"YBR006W,YBR109C,YER073W,YGL179C,YGR019W,YIL033C,YJL093C,YJL164C,YJR001W,YKL166C,YLR248W,YML042W,YPL203W,YPR035W"
"112399"	3	"IRS-mediated signalling"	"YHR205W,YKL126W,YOL100W"
"112409"	6	"RAF-independent MAPK1/3 activation"	"YBL016W,YDL159W,YGR040W,YHR030C,YIL113W,YNL053W"
"112411"	2	"MAPK1 (ERK2) activation"	"YBL016W,YDL159W"
"113418"	29	"Formation of the Early Elongation Complex"	"YBR154C,YDL108W,YDL140C,YDR079C-A,YDR311W,YDR404C,YDR460W,YER171W,YGL070C,YGR005C,YGR063C,YGR186W,YHR143W-A,YIL021W,YIL143C,YJL140W,YLR005W,YML010W,YMR125W,YMR277W,YOL005C,YOR151C,YOR210W,YOR224C,YPL122C,YPL178W,YPR025C,YPR056W,YPR187W"
"113501"	4	"Inhibition of replication initiation of damaged DNA by RB1/E2F1"	"YBL035C,YIR008C,YKL045W,YNL102W"
"113510"	4	"E2F mediated regulation of DNA replication"	"YBL035C,YIR008C,YKL045W,YNL102W"
"114508"	3	"Effects of PIP2 hydrolysis"	"YBL105C,YBR204C,YKL094W"
"114516"	4	"Disinhibition of SNARE formation"	"YBL105C,YDR164C,YMR183C,YPL232W"
"114604"	1	"GPVI-mediated activation cascade"	"YOL100W"
"114608"	15	"Platelet degranulation "	"YBR025C,YBR109C,YDR164C,YDR168W,YDR288W,YFL039C,YIL043C,YJR104C,YKL209C,YML085C,YML124C,YMR092C,YMR197C,YNL233W,YPR031W"
"1168372"	2	"Downstream signaling events of B Cell Receptor (BCR)"	"YBL105C,YNL135C"
"1169091"	1	"Activation of NF-kappaB in B cells"	"YBL105C"
"1222556"	15	"ROS and RNS production in phagocytes"	"YBR127C,YCL005W-A,YDL185W,YEL027W,YEL051W,YGR020C,YHR026W,YHR039C-A,YHR042W,YKL080W,YLR447C,YMR054W,YOR270C,YOR332W,YPR036W"
"1227986"	5	"Signaling by ERBB2"	"YDR069C,YER144C,YHR205W,YJL197W,YKL126W"
"1236975"	33	"Antigen processing-Cross presentation"	"YBL041W,YDL007W,YDL097C,YDL147W,YDR394W,YDR427W,YER012W,YER021W,YER094C,YFL007W,YFR004W,YFR050C,YFR052W,YGL011C,YGL048C,YGR135W,YGR253C,YHR027C,YHR200W,YIL007C,YIL075C,YJL001W,YKL145W,YML092C,YMR314W,YOL038W,YOR117W,YOR157C,YOR259C,YOR261C,YOR362C,YPR103W,YPR108W"
"1236978"	33	"Cross-presentation of soluble exogenous antigens (endosomes)"	"YBL041W,YDL007W,YDL097C,YDL147W,YDR394W,YDR427W,YER012W,YER021W,YER094C,YFL007W,YFR004W,YFR050C,YFR052W,YGL011C,YGL048C,YGR135W,YGR253C,YHR027C,YHR200W,YIL007C,YIL075C,YJL001W,YKL145W,YML092C,YMR314W,YOL038W,YOR117W,YOR157C,YOR259C,YOR261C,YOR362C,YPR103W,YPR108W"
"1237112"	4	"Methionine salvage pathway"	"YEL038W,YLR017W,YMR009W,YPR118W"
"1257604"	58	"PIP3 activates AKT signaling"	"YBL041W,YBR028C,YBR058C,YBR270C,YDL007W,YDL097C,YDL147W,YDR005C,YDR208W,YDR394W,YDR427W,YER012W,YER021W,YER093C,YER094C,YER125W,YFL007W,YFR004W,YFR050C,YFR052W,YGL011C,YGL048C,YGR135W,YGR232W,YGR253C,YHR027C,YHR200W,YHR205W,YIL007C,YIL035C,YIL075C,YIL148W,YJL001W,YJL058C,YKL126W,YKL145W,YKL203C,YKR094C,YLR167W,YML092C,YMR233W,YMR304W,YMR314W,YNL006W,YNL128W,YOL038W,YOL078W,YOL100W,YOR039W,YOR061W,YOR117W,YOR157C,YOR259C,YOR261C,YOR295W,YOR362C,YPR103W,YPR108W"
