Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36
YLR331C,6.959720300000001,7.006309890000001,7.009626300000001,6.9741489,7.0800776,6.930709,6.89975,6.99379201,6.9639183000000004,7.00806438,6.9195400000000005,7.043325800000001,7.112383,7.0512011,6.99490338,6.9491912000000005,7.0504552,6.9516007,6.956828300000001,7.0196011,7.0210846,6.996690040000001,7.0346444,7.0227696,7.148805,7.0129719,6.9846309,7.00388067,7.002126294,6.924719400000001,6.9565372000000005,7.057195800000001,6.999133680000001,7.0653528,7.001653706000001,6.935335200000001
YLR332W,7.591252,7.19238918,6.786649000000001,6.883578,6.666826,6.779558000000001,6.697786000000001,7.1071065,7.649918,7.4435020000000005,7.647995,8.163872,7.573347,7.20357082,7.032192,6.693374,6.755855,6.928673,6.899011000000001,8.135333000000001,7.677811,7.6576450000000005,7.724408,7.999225,7.355259,6.929272,6.779935,7.00696,6.928443000000001,6.839753,6.981663,8.296420000000001,7.752206,7.838959,7.902836000000001,7.880069000000001
YLR333C,6.427136,6.140858,6.485456,6.6289868,6.7560363,6.7039332,6.321719,6.861669,6.492889,6.9041879999999995,6.557271,6.979883,6.0674719999999995,6.214396,6.611655799999999,6.111704,6.868721,6.7629246,6.7315881,6.86945,6.2352929999999995,6.7508842,6.900704,6.547001,6.2674959999999995,5.839361,6.471806,7.024052999999999,6.7632326,6.9041879999999995,6.585656999999999,7.155709,6.443205,7.2594199999999995,7.093517,6.9639869999999995
YLR333C,6.6153191,5.26726,6.2260219999999995,6.349026,6.462047,6.481825,6.277308,6.836352,6.6333421,7.386293,7.301979,7.085322,6.139073,5.693899,6.12345,6.21854,6.651675099999999,6.6057968,6.800753,7.089473,6.760457,6.866808,6.8483,6.785048,6.462613999999999,5.7537519999999995,6.39788,6.527721,6.6775362,6.6481649,6.80842,7.088916,6.820901,6.843309,6.808218,6.776085999999999
YLR334C,7.780944239999999,7.7399081999999995,7.7738384,7.7633209,7.7524146,7.7889021,7.8212019999999995,7.79203943,7.8197632,7.796037699999999,7.893859,7.7859019676,7.745218899999999,7.781191369999999,7.8188604999999995,7.8287045,7.79491452,7.7505087999999995,7.7705493,7.7743525,7.813951299999999,7.770179,7.815358799999999,7.7658553999999995,7.7329517999999995,7.725937,7.8042413999999996,7.776430609999999,7.77804527,7.7964983,7.77976898,7.8319532999999995,7.8029471,7.785998032399999,7.79443674,7.8208326
YLR335W,7.9483369,7.783606000000001,7.79333,7.77001,7.494487,7.869541900000001,7.5368450000000005,7.8664111000000005,7.918692200000001,8.085222,8.166569,8.514645,7.8837435000000005,7.871091900000001,7.817628,7.561267000000001,7.8669218,8.159146,7.8696817,8.286077,7.9452308,8.31124,8.217396,8.219662,7.801200400000001,7.7482750000000005,7.683016,7.8839369,7.9724158,7.914043100000001,7.8212408,8.370786,8.029604,8.255895,8.465897,8.352806000000001
YLR336C,7.524792000000001,7.655647,7.651198,7.7585188,7.642151,8.001877,7.853888691,8.035315,8.782086,7.742866,7.773704400000001,8.396941,7.413927,7.7603834,7.738593,7.467589,7.852931309000001,8.341403,7.983501,9.03112,7.706282,7.7656638000000004,7.904711,8.06774,7.532655,7.651349000000001,7.759407700000001,8.125982,8.311057,8.034175,7.9107795,9.25343,7.685386,7.878968400000001,8.061171,8.004024
YLR337C,8.6036813,8.724762,8.6333307,8.722128,8.4741684,8.770064,8.5265113,8.401525999999999,7.4361999999999995,8.437945,8.4382,8.405256999999999,8.726581999999999,8.6448185,8.667857999999999,8.744618,8.6200271999999991,8.831750999999999,8.605353,8.443014,8.5358472,8.664472,8.55211426,8.764923999999999,8.553625129999999,8.690358999999999,8.56699487,8.468859499999999,8.4675333,8.390974,8.524367499999999,8.13811,8.776665999999999,8.547203999999999,8.519991,8.6290584
YLR338W,8.5146322,8.5487954,8.527407799999999,8.691404,8.530521349999999,8.5074313,8.5788171,8.5115722,8.4924856,8.5712639,8.567371999999999,8.401541,8.562372,8.6207354,8.529826889999999,8.630585,8.570904299999999,8.499301899999999,8.5389138,8.533083529999999,8.486410099999999,8.475304399999999,8.510420199999999,8.556426,8.504331899999999,8.564748999999999,8.5600955,8.519560409999999,8.509039699999999,8.533010149999999,8.5134033,8.486565599999999,8.5239522,8.4487568,8.4751637,8.4951207
YLR339C,8.808266000000001,8.717572,8.756818,8.825686000000001,9.053073000000001,8.829972000000001,8.852472200000001,8.9660094,8.94376195,9.098144000000001,8.9736165,9.0345212,9.103892,8.854230600000001,8.909938700000001,9.0009075,8.9931485,8.9145257,8.956990900000001,9.015,8.9837982,8.964013000000001,8.829003,8.943481922,9.056090000000001,8.829972000000001,8.781896000000001,8.843742500000001,8.909343900000001,8.965168700000001,8.941518078000001,8.9867153,8.8873659,9.0276186,8.8987365,8.835472000000001
