ID,Symbol,GeneTitle,Loading,p value
YDR256C,CTA1,CaTalase A,0.0716884048392515,0.08387
YCR010C,ADY2,Accumulation of DYads,0.0696067935384141,0.09151
YPL276W,NA,NA,0.0656025767003561,0.12259
YMR303C,ADH2,Alcohol DeHydrogenase,0.0653338289308536,0.10742
YGL205W,POX1,NA,0.0633619350679669,0.08289
YAL054C,ACS1,Acetyl CoA Synthetase,0.0631935312188861,0.0742
YKL187C,FAT3,FATty acid transporter 3,0.062315860668996,0.04908
YIL057C,RGI2,Respiratory growth induced,0.0621120099562041,0.04361
YIL160C,POT1,Peroxisomal Oxoacyl Thiolase,0.0607151730505055,0.07685
YPR001W,CIT3,CITrate synthase,0.0606324715646045,0.10016
YGR236C,SPG1,Stationary Phase Gene,0.0601413169960307,0.12682
YKR009C,FOX2,Fatty acid OXidation,0.0601356989700262,0.10086
YBR117C,TKL2,TransKetoLase,0.059345645375056,0.22297
YML042W,CAT2,Carnitine AcetylTransferase,0.0592229481414278,0.0689
YBR116C,NA,NA,0.0568955182374641,0.23492
YGR088W,CTT1,CaTalase T,0.0565238691315268,0.22089
YPR151C,SUE1,NA,0.055897150223259,0.06239
YPL147W,PXA1,PeroXisomal ABC-transporter,0.0558057098027628,0.06745
YOR388C,FDH1,Formate DeHydrogenase,0.0551328565039367,0.1237
YMR107W,SPG4,Stationary Phase Gene,0.0549838222762649,0.07002
YER121W,NA,NA,0.0549796701983392,0.05392
YPR006C,ICL2,IsoCitrate Lyase,0.0546294618763421,0.14811
YNL195C,NA,NA,0.0539177513597199,0.13427
YHR137W,ARO9,AROmatic amino acid requiring,0.0537947386358534,0.1142
YDL085W,NDE2,"NADH Dehydrogenase, External",0.0528206378554519,0.04329
YGR248W,SOL4,Suppressor Of Los1-1,0.0524676000181415,0.0869
YDL223C,HBT1,HuB1 Target,0.0520386446676183,0.21853
YDL222C,FMP45,Found in Mitochondrial Proteome,0.0514055722924068,0.21652
YDR384C,ATO3,Ammonia (Ammonium) Transport Outward,0.05027059488093,0.09295
YER054C,GIP2,Glc7-Interacting Protein,0.050129611205923,0.03123
YNL009W,IDP3,"Isocitrate Dehydrogenase, NADP-dependent",0.0501178703266927,0.0702
YNL194C,NA,NA,0.0497641544191302,0.05116
YML054C,CYB2,CYtochrome B,0.0496705405532427,0.05931
YDL204W,RTN2,ReTiculoN-like,0.0493784364113794,0.17353
YDL214C,PRR2,Pheromone Response Regulator,0.0491415778800805,0.05453
YPL201C,YIG1,Yeast protein Interacting with Glycerol 3-phosphatase,0.0488378043476708,0.18099
YMR175W,SIP18,Salt Induced Protein,0.0485491703025182,0.27638
YER015W,FAA2,Fatty Acid Activation,0.0483294257825023,0.08551
YKL164C,PIR1,Protein containing Internal Repeats,0.0465955022422187,0.21526
YGR043C,NQM1,Non-Quiescent Mutant,0.0465080147822162,0.12827
YLR284C,ECI1,Enoyl-CoA Isomerase,0.0464843464131396,0.07893
YNL014W,HEF3,Homolog of EF-3,0.0464358328207502,0.2632
YML128C,MSC1,Meiotic Sister-Chromatid recombination,0.0461920640828882,0.09837
YBR116C,NA,NA,0.0461861373280841,0.25568
YOL084W,PHM7,PHosphate Metabolism,0.0461747192508042,0.03199
YNL202W,SPS19,SPorulation-Specific,0.0457045598436303,0.04121
YKL188C,PXA2,PeroXisomal ABC-transporter,0.0456973720451224,0.08107
YMR323W,ERR3,Enolase-Related Repeat,0.0456388929934411,0.08267
YML100W,TSL1,Trehalose Synthase Long chain,0.0451033422196019,0.02263
YBL075C,SSA3,Stress-Seventy subfamily A,0.0445715898108612,0.32315
YOR348C,PUT4,Proline UTilization,0.0445366241617986,0.13698
YDR070C,FMP16,Found in Mitochondrial Proteome,0.044126671857639,0.1967
YHR087W,RTC3,Restriction of Telomere Capping,0.0437503383822209,0.17143
YDL110C,TMA17,Translation Machinery Associated,0.0423079028469785,0.01626
YOR374W,ALD4,ALdehyde Dehydrogenase,0.0419794681357654,0.09986
YOR173W,DCS2,DeCapping Scavenger,0.0417318089418475,0.01906
YOR273C,TPO4,Transporter of POlyamines,0.0413158322540941,0.1699
YKL217W,JEN1,NA,0.0410203839595727,0.04508
YIR016W,NA,NA,0.0409454440548715,0.02382
YGR052W,FMP48,Found in Mitochondrial Proteome,0.0407119487615789,0.06043
YLR258W,GSY2,Glycogen SYnthase,0.0406048004066892,0.03807
YAL061W,BDH2,NA,0.0402459866007534,0.10848
YFL014W,HSP12,Heat Shock Protein,0.0402285164791314,0.14041
YNR034W-A,EGO4,Exit from rapamycin-induced GrOwth arrest,0.0400557367432358,0.06245
YMR174C,PAI3,Proteinase A Inhibitor,0.0392943055140286,0.19664
YOR317W,FAA1,Fatty Acid Activation,0.0391300712678378,0.04903
YPR160W,GPH1,Glycogen PHosphorylase,0.0388004642917026,0.0434
YIL136W,OM45,Outer Membrane,0.038541413798142,0.0422
YPL223C,GRE1,Genes de Respuesta a Estres (spanish for stress responsive genes),0.038173403793269,0.32395
YKL026C,GPX1,Glutathione PeroXidase,0.0381520096832658,0.02529
YDR171W,HSP42,Heat Shock Protein,0.0379642485686145,0.07554
YGR127W,NA,NA,0.0378665115775399,0.02495
YLR178C,TFS1,cdc Twenty-Five Suppressor,0.0377712283151496,0.04621
YDR074W,TPS2,Trehalose-6-Phosphate Synthase/phosphatase,0.0374227302162492,0.03295
YMR322C,SNO4,SNZ proximal Open reading frame,0.0373929503046779,0.12224
YGR256W,GND2,6-phosphoGlucoNateDehydrogenase,0.0373896609163515,0.25284
YMR196W,NA,NA,0.0373887303107424,0.04792
YJR019C,TES1,ThioESterase,0.0373251441567805,0.16227
YIL124W,AYR1,1-AcyldihYdroxyacetone-phosphate Reductase,0.0373206545252317,0.05884
YGR008C,STF2,STabilizing Factor,0.0372858462077085,0.0335
YJR008W,MHO1,Memo HOmolog,0.0369407631648951,0.01817
YNL327W,EGT2,Early G1 Transcript,0.0366778864776265,0.30999
YMR169C,ALD3,ALdehyde Dehydrogenase,0.0366698367174661,0.13826
YIL101C,XBP1,XhoI site-Binding Protein,0.0363621368132514,0.0289
YPL004C,LSP1,Long chain bases Stimulate Phosphorylation,0.0361759160823312,0.01809
YLR070C,XYL2,NA,0.0356922601559042,0.01758
YLR149C,GID11,Glucose Induced Degradation deficient,0.0356842974096872,0.02544
YOR161C,PNS1,pH Nine Sensitive,0.0354612082045975,0.06514
YPR149W,NCE102,NonClassical Export,0.0353600431416634,0.04509
YAR035W,YAT1,NA,0.0352569232333196,0.07951
YPL186C,UIP4,Ulp1 Interacting Protein,0.0352451898360334,0.07011
YMR105C,PGM2,PhosphoGlucoMutase,0.0349911246353316,0.03279
YMR169C,ALD3,ALdehyde Dehydrogenase,0.0349416529470204,0.12583
YIL155C,GUT2,Glycerol UTilization,0.0348767805573783,0.02094
YDR223W,CRF1,Co-Repressor with FHL1,0.034835232427209,0.06785
YPL092W,SSU1,Sensitive to SUlfite,0.0347691111186509,0.09259
YOL126C,MDH2,Malate DeHydrogenase,0.0346324711829768,0.04741
YBR072W,HSP26,Heat Shock Protein,0.0346256704141684,0.20929
YPL113C,NA,NA,0.0345933650822807,0.04961
YML089C,NA,NA,0.0345883218381526,0.16918
