x,y,r,g,b
41,14,68,76,78
46,14,73,72,77
38,16,84,99,104
42,16,64,76,92
38,17,105,120,125
42,17,78,90,104
42,18,71,81,93
38,19,73,88,93
42,19,58,67,76
38,20,68,86,90
39,20,96,109,118
38,64,89,96,102
42,64,35,56,103
46,64,64,85,86
38,65,99,104,110
42,65,52,71,113
38,66,103,108,112
42,66,61,80,113
42,67,85,102,128
38,68,76,80,83
38,69,102,103,108
42,69,63,78,101
38,70,67,67,75
42,70,44,56,82
49,70,72,72,74
338,87,87,87,89
321,88,72,96,124
329,88,82,105,136
330,88,57,75,99
318,89,94,110,125
319,89,90,107,123
320,89,59,82,114
324,89,54,78,112
325,89,57,83,116
326,89,56,82,117
327,89,41,67,102
328,89,53,82,114
332,89,37,58,79
75,90,80,100,125
76,90,83,105,129
192,90,82,112,140
200,90,50,71,88
201,90,75,94,111
202,90,96,114,128
207,90,93,103,115
317,90,60,81,102
318,90,50,72,95
319,90,38,63,85
320,90,68,83,90
330,90,90,98,109
336,90,36,58,82
337,90,37,58,79
338,90,35,56,73
340,90,82,96,107
341,90,105,115,127
70,91,102,110,129
71,91,80,91,109
72,91,66,87,106
73,91,54,76,97
74,91,50,72,93
75,91,38,60,83
76,91,39,64,86
77,91,45,69,93
78,91,57,81,105
79,91,65,89,115
80,91,87,99,111
190,91,95,108,127
191,91,61,74,93
192,91,36,63,90
193,91,40,70,96
194,91,52,82,108
195,91,43,73,97
198,91,73,101,123
199,91,64,90,113
201,91,45,77,102
202,91,48,78,102
203,91,43,69,92
204,91,31,56,78
205,91,39,61,84
210,91,63,70,76
311,91,90,103,120
312,91,88,105,123
313,91,70,89,106
314,91,46,65,82
315,91,55,74,91
316,91,45,63,83
317,91,50,68,88
334,91,105,106,111
339,91,41,61,72
340,91,43,65,79
341,91,39,60,79
342,91,51,69,93
343,91,82,98,124
68,92,45,72,89
69,92,53,80,97
70,92,58,85,102
71,92,37,64,81
72,92,38,61,79
73,92,54,77,95
74,92,58,80,101
76,92,84,106,129
77,92,76,98,122
78,92,44,65,92
79,92,40,61,88
80,92,44,60,83
81,92,61,78,98
187,92,80,96,111
188,92,66,82,98
189,92,54,71,89
190,92,53,70,90
191,92,63,80,100
192,92,99,109,119
203,92,64,73,82
206,92,38,56,78
207,92,39,59,83
208,92,33,58,78
209,92,34,55,74
212,92,75,81,93
310,92,103,119,134
311,92,53,68,87
312,92,59,80,99
313,92,54,73,90
314,92,63,80,98
315,92,87,103,118
336,92,103,98,104
341,92,77,98,115
342,92,55,75,99
343,92,43,63,88
66,93,54,81,102
67,93,47,72,94
68,93,55,77,98
69,93,79,100,119
80,93,93,115,139
81,93,69,89,113
82,93,51,69,89
83,93,58,75,93
84,93,86,102,117
85,93,99,113,124
186,93,63,82,99
187,93,45,64,81
188,93,56,73,91
189,93,78,95,111
204,93,97,98,100
205,93,80,85,91
209,93,37,58,79
210,93,37,55,77
211,93,40,56,79
213,93,100,107,123
309,93,95,111,124
310,93,54,71,87
311,93,68,85,101
345,93,98,111,120
63,94,100,116,132
64,94,60,82,106
65,94,44,64,89
66,94,45,63,87
67,94,97,112,135
82,94,85,108,126
83,94,51,72,91
84,94,55,74,91
85,94,40,59,76
86,94,52,69,87
184,94,81,101,125
185,94,49,70,91
186,94,46,64,84
208,94,93,101,104
212,94,42,58,81
213,94,57,70,89
308,94,83,100,116
309,94,52,69,85
310,94,63,81,95
345,94,96,110,123
346,94,60,73,89
347,94,94,107,123
61,95,74,87,103
62,95,61,78,96
63,95,61,79,99
64,95,48,68,93
65,95,65,82,108
85,95,87,107,131
86,95,45,65,90
87,95,51,71,98
88,95,91,104,112
184,95,49,66,92
185,95,77,95,119
212,95,46,64,86
213,95,56,73,91
214,95,61,75,88
307,95,49,66,86
308,95,63,81,101
309,95,65,84,101
346,95,73,90,108
347,95,44,61,81
348,95,51,64,81
349,95,97,105,116
59,96,47,59,75
60,96,54,67,86
61,96,52,67,86
62,96,91,108,124
87,96,80,91,111
88,96,44,65,92
89,96,50,74,98
182,96,92,99,109
211,96,103,106,113
213,96,97,107,119
214,96,68,82,95
215,96,89,107,121
305,96,56,78,102
306,96,77,95,119
307,96,103,120,140
308,96,57,69,85
350,96,62,71,80
59,97,61,68,84
89,97,53,75,96
90,97,52,75,93
181,97,93,101,112
215,97,102,118,131
59,98,61,65,77
90,98,60,81,100
91,98,50,69,86
177,98,61,77,90
178,98,76,90,103
179,98,76,88,100
216,98,94,102,115
301,98,59,79,90
302,98,44,64,88
303,98,45,65,98
304,98,83,101,111
91,99,48,69,90
92,99,63,80,100
176,99,83,97,108
301,99,86,104,124
347,99,103,108,114
349,99,41,60,77
350,99,41,58,76
352,99,69,69,71
91,100,81,97,120
92,100,51,69,93
175,100,55,73,97
299,100,97,107,119
300,100,77,89,103
350,100,37,55,75
92,101,40,58,82
93,101,72,90,110
173,101,45,66,85
174,101,67,91,115
217,101,71,83,95
218,101,87,100,116
299,101,88,90,113
92,102,76,93,113
93,102,53,74,95
94,102,98,117,132
172,102,76,90,103
217,102,73,87,98
218,102,42,59,77
219,102,81,98,114
298,102,103,104,132
349,102,53,62,71
351,102,34,56,80
93,103,65,87,108
94,103,49,70,87
172,103,84,93,108
218,103,50,71,92
220,103,51,65,74
298,103,87,91,120
349,103,85,90,96
351,103,36,56,81
94,104,47,65,87
171,104,85,103,125
172,104,54,71,89
220,104,39,57,79
295,104,81,90,119
297,104,57,69,85
349,104,99,108,117
351,104,38,55,71
94,105,54,75,96
170,105,88,105,125
219,105,39,57,71
221,105,80,93,110
350,105,85,99,110
351,105,71,87,102
94,106,68,89,110
95,106,70,94,122
168,106,93,110,130
219,106,79,95,108
220,106,40,58,80
221,106,53,68,87
282,106,77,95,115
295,106,104,111,130
351,106,74,88,101
94,107,60,78,98
95,107,49,70,97
167,107,94,106,122
168,107,100,115,122
220,107,40,58,80
221,107,40,57,77
280,107,49,67,81
283,107,56,72,95
284,107,67,84,110
285,107,87,104,130
293,107,98,105,133
294,107,47,55,76
295,107,98,107,122
351,107,70,80,90
94,108,103,120,136
95,108,36,56,80
96,108,93,105,117
152,108,84,100,116
154,108,53,74,93
155,108,43,66,84
156,108,71,92,109
166,108,83,94,124
167,108,85,94,123
220,108,45,63,85
221,108,42,60,82
280,108,91,109,123
285,108,77,93,119
286,108,52,68,94
294,108,101,114,131
351,108,86,96,105
95,109,62,79,97
96,109,59,75,91
151,109,80,96,112
152,109,49,66,86
153,109,91,109,129
155,109,81,103,124
156,109,53,76,94
157,109,63,84,101
163,109,100,117,135
164,109,55,73,97
166,109,83,100,116
220,109,56,74,96
221,109,42,62,86
279,109,51,70,76
287,109,89,106,126
290,109,81,97,123
292,109,73,86,120
293,109,87,99,125
351,109,93,104,110
95,110,78,92,105
96,110,55,72,92
150,110,54,70,85
151,110,52,71,88
152,110,82,97,116
156,110,91,108,124
157,110,79,98,115
158,110,67,86,103
163,110,39,60,77
220,110,66,84,106
221,110,36,58,81
222,110,61,71,81
279,110,102,105,112
288,110,92,104,128
352,110,90,99,106
96,111,60,76,101
150,111,42,59,75
157,111,88,104,119
158,111,81,98,116
159,111,48,66,86
160,111,47,76,110
161,111,64,91,121
162,111,55,79,103
163,111,74,93,110
220,111,80,98,120
221,111,34,56,80
279,111,97,100,105
352,111,84,93,102
96,112,57,77,102
97,112,88,105,123
150,112,49,61,83
159,112,49,75,88
160,112,59,69,79
161,112,93,103,113
221,112,36,57,74
222,112,37,62,84
278,112,53,70,86
352,112,51,72,99
96,113,61,79,103
97,113,101,118,136
149,113,35,65,89
150,113,60,68,89
158,113,91,104,120
221,113,44,66,80
222,113,37,62,84
278,113,85,102,118
352,113,87,108,135
411,113,49,63,89
96,114,91,109,131
148,114,77,98,119
221,114,69,88,102
222,114,39,64,86
223,114,60,78,100
277,114,81,91,116
352,114,49,70,97
411,114,49,64,87
96,115,83,100,120
148,115,59,77,99
222,115,44,66,87
223,115,74,90,113
277,115,86,97,119
352,115,78,99,126
411,115,49,64,87
38,116,87,85,96
97,116,91,104,120
147,116,46,62,77
148,116,59,75,98
222,116,46,69,87
276,116,53,56,89
352,116,69,90,117
410,116,66,81,104
411,116,65,77,101
38,117,72,70,84
39,117,84,85,103
97,117,51,65,78
147,117,55,72,90
148,117,98,114,137
222,117,40,61,80
276,117,95,98,131
353,117,79,97,119
410,117,41,56,79
411,117,91,103,127
38,118,73,70,87
97,118,76,88,100
147,118,51,72,91
222,118,52,73,90
276,118,52,55,88
353,118,49,67,89
410,118,46,62,85
38,119,86,83,100
42,119,69,70,88
97,119,89,101,113
147,119,68,89,108
222,119,71,92,109
275,119,61,64,71
353,119,49,67,89
409,119,101,118,126
410,119,49,65,90
38,120,93,93,95
42,120,80,81,85
97,120,62,76,85
146,120,59,79,103
222,120,77,89,105
275,120,96,104,125
353,120,47,65,87
409,120,94,109,130
410,120,44,58,84
38,121,99,99,101
39,121,87,90,97
97,121,90,104,113
146,121,90,110,135
275,121,56,67,87
353,121,82,100,122
409,121,92,107,128
410,121,48,62,88
39,122,81,84,91
97,122,66,79,87
146,122,62,83,110
223,122,95,107,131
275,122,93,104,124
353,122,58,76,98
409,122,89,104,127
410,122,53,69,92
97,123,103,116,124
146,123,81,105,133
223,123,55,67,93
275,123,56,67,89
353,123,90,108,130
409,123,72,88,111
410,123,46,63,83
22,124,67,68,72
