x,y,r,g,b
498,4,185,211,210
499,4,177,203,202
500,4,180,206,205
501,4,183,209,208
502,4,178,204,203
503,4,187,211,211
496,5,180,212,211
497,5,211,243,242
498,5,197,229,228
499,5,199,231,230
500,5,204,236,235
501,5,192,224,223
502,5,204,234,234
503,5,202,232,232
504,5,193,221,222
121,6,204,225,228
122,6,201,222,225
123,6,214,235,238
124,6,213,234,237
125,6,216,237,240
126,6,211,232,235
127,6,207,228,231
128,6,206,232,233
129,6,206,232,233
130,6,206,232,233
131,6,206,232,233
132,6,206,232,233
133,6,206,232,233
134,6,206,232,233
135,6,206,232,233
136,6,207,233,234
137,6,207,233,234
138,6,206,232,233
139,6,206,232,233
140,6,205,231,232
141,6,205,231,232
142,6,204,230,231
143,6,203,229,230
144,6,219,245,246
145,6,197,223,224
146,6,212,236,238
147,6,181,205,207
466,6,201,220,224
467,6,190,211,214
468,6,202,226,228
469,6,199,225,226
470,6,198,222,224
471,6,200,224,226
472,6,208,229,232
473,6,206,225,229
474,6,215,233,237
475,6,208,226,230
476,6,207,225,229
477,6,214,232,236
478,6,205,224,228
479,6,209,228,232
480,6,206,230,230
481,6,206,230,230
482,6,206,230,230
483,6,205,229,229
484,6,206,230,230
485,6,207,231,231
486,6,206,230,230
487,6,205,229,229
488,6,195,219,219
489,6,198,222,222
490,6,206,230,230
491,6,214,238,238
492,6,215,239,239
493,6,205,229,229
494,6,202,226,226
495,6,194,218,218
496,6,189,221,220
497,6,202,234,233
498,6,194,226,225
499,6,201,233,232
500,6,203,237,236
501,6,189,223,222
502,6,198,232,231
503,6,210,242,241
504,6,212,244,243
505,6,187,219,218
506,6,191,221,221
507,6,180,208,209
508,6,181,209,210
509,6,194,220,221
832,6,183,204,209
833,6,193,214,219
834,6,197,218,223
835,6,196,217,222
836,6,198,219,224
837,6,203,224,229
838,6,199,220,225
839,6,189,210,215
840,6,209,230,235
841,6,197,218,223
842,6,202,221,227
843,6,184,203,209
120,7,194,220,221
121,7,222,250,251
122,7,204,232,233
123,7,205,233,234
124,7,197,227,227
