x,y,r,g,b
1626,535,7,0,254
1627,535,0,2,254
1628,535,0,2,254
1629,535,7,0,254
1624,536,0,0,254
1625,536,0,0,254
1626,536,0,0,254
1627,536,0,0,254
1628,536,0,0,254
1629,536,0,0,254
1630,536,0,0,254
1631,536,0,0,254
1632,536,4,3,255
1623,537,14,0,255
1624,537,0,0,254
1625,537,0,0,254
1626,537,0,0,254
1627,537,0,0,254
1628,537,0,0,254
1629,537,0,0,254
1630,537,0,0,254
1631,537,0,0,254
1632,537,8,0,254
1633,537,1,0,254
1634,537,0,1,241
1635,537,8,0,253
1622,538,1,0,254
1623,538,0,3,240
1624,538,0,0,254
1625,538,0,0,254
1626,538,0,0,254
1627,538,0,0,254
1628,538,0,0,254
1629,538,0,0,254
1630,538,0,0,254
1631,538,0,0,254
1632,538,0,0,252
1633,538,0,5,255
1634,538,0,3,245
1635,538,0,0,236
1636,538,13,0,253
36,539,6,0,255
37,539,1,0,254
38,539,0,0,253
39,539,0,5,239
1622,539,6,0,251
1623,539,0,3,255
1624,539,0,0,254
1625,539,0,0,254
1626,539,0,0,254
1627,539,0,0,254
1628,539,0,0,254
1629,539,0,0,254
1630,539,0,0,254
1631,539,0,0,254
1632,539,0,0,240
1633,539,6,2,249
1634,539,12,0,255
1635,539,5,3,250
1636,539,0,7,255
1637,539,0,5,253
1638,539,10,0,251
34,540,2,0,251
35,540,0,0,250
36,540,0,10,243
37,540,0,0,247
38,540,0,2,238
39,540,4,3,255
40,540,6,0,250
41,540,8,0,251
110,540,6,0,253
111,540,1,0,253
112,540,0,0,250
113,540,4,1,255
114,540,6,0,251
115,540,20,0,255
1621,540,13,0,245
1622,540,9,0,255
1623,540,4,2,253
1624,540,0,0,254
1625,540,0,0,254
1626,540,0,0,254
1627,540,0,0,254
1628,540,0,0,254
1629,540,0,0,254
1630,540,0,0,254
1631,540,0,0,254
1632,540,3,0,248
1633,540,2,0,254
1634,540,3,2,255
1635,540,5,5,255
1636,540,0,0,252
1637,540,0,0,240
1638,540,7,7,255
1639,540,0,0,254
1640,540,1,0,254
1641,540,1,0,254
1642,540,1,0,254
1643,540,1,0,254
