x,y,r,g,b
1569,94,1,0,249
1570,94,4,1,255
1571,94,0,0,247
1572,94,4,3,255
1573,94,0,4,236
1574,94,2,2,255
1575,94,0,1,254
1568,95,6,0,255
1569,95,0,0,246
1570,95,2,0,254
1571,95,4,3,255
1572,95,1,2,250
1573,95,1,1,255
1574,95,0,0,250
1575,95,0,3,255
1576,95,7,0,242
1577,95,15,0,255
94,96,11,0,247
95,96,3,0,252
96,96,0,1,250
97,96,1,4,255
98,96,0,0,245
99,96,13,0,255
100,96,18,0,252
1567,96,0,0,252
1568,96,0,0,254
1569,96,0,0,254
1570,96,0,0,254
1571,96,0,0,254
1572,96,0,0,254
1573,96,0,0,254
1574,96,0,0,254
1575,96,0,0,254
1576,96,0,3,255
1577,96,0,1,254
1578,96,3,1,250
1579,96,11,0,255
66,97,13,0,255
67,97,4,3,255
68,97,0,0,241
69,97,0,0,243
70,97,3,6,255
71,97,1,1,249
72,97,1,0,239
73,97,9,5,252
74,97,0,0,250
75,97,8,0,254
78,97,9,0,254
79,97,2,0,245
80,97,2,0,254
81,97,2,0,254
82,97,2,0,254
83,97,2,0,254
84,97,2,0,254
85,97,2,0,254
86,97,2,0,254
87,97,2,0,254
91,97,8,3,253
92,97,0,3,255
93,97,0,0,252
94,97,2,7,255
95,97,0,0,249
96,97,0,0,232
97,97,2,2,255
98,97,2,2,255
99,97,1,5,252
100,97,2,6,255
101,97,0,6,242
102,97,0,1,253
103,97,0,0,248
104,97,2,0,254
105,97,2,0,254
106,97,2,0,254
107,97,2,0,254
108,97,2,0,254
109,97,2,0,254
110,97,2,0,254
111,97,2,0,254
112,97,16,2,255
1566,97,13,0,244
1567,97,0,0,250
1568,97,0,0,254
1569,97,0,0,254
1570,97,0,0,254
1571,97,0,0,254
1572,97,0,0,254
1573,97,0,0,254
1574,97,0,0,254
1575,97,0,0,254
1576,97,4,4,255
1577,97,0,0,240
1578,97,1,0,251
1579,97,0,0,237
1580,97,8,0,242
1581,97,19,0,254
1584,97,2,0,254
1585,97,2,0,254
1586,97,2,0,254
1587,97,2,0,254
1588,97,2,0,254
1589,97,2,0,254
1590,97,2,0,254
1591,97,2,0,254
1592,97,0,6,249
1593,97,0,0,248
1594,97,5,11,255
1595,97,1,0,251
1596,97,10,0,250
65,98,17,0,255
66,98,0,0,249
67,98,1,4,255
68,98,0,6,255
69,98,0,3,241
70,98,0,0,253
71,98,4,0,254
72,98,1,9,255
73,98,0,4,255
74,98,0,4,246
75,98,0,5,238
76,98,0,0,246
77,98,2,1,255
78,98,0,2,249
79,98,0,2,254
80,98,0,1,254
81,98,0,1,254
82,98,0,1,254
83,98,0,1,254
84,98,0,1,254
85,98,0,1,254
86,98,0,1,254
87,98,0,1,254
88,98,0,0,247
89,98,5,2,255
90,98,0,0,247
91,98,0,0,252
92,98,0,0,253
93,98,0,0,253
94,98,2,2,255
95,98,2,1,252
96,98,2,2,250
97,98,2,2,255
98,98,2,2,255
99,98,0,0,247
100,98,0,5,246
101,98,0,4,255
102,98,0,4,235
103,98,0,7,255
104,98,0,1,254
105,98,0,1,254
106,98,0,1,254
107,98,0,1,254
108,98,0,1,254
109,98,0,1,254
110,98,0,1,254
111,98,0,1,254
112,98,3,4,252
113,98,2,2,255
114,98,0,0,248
115,98,0,0,248
116,98,6,0,255
117,98,20,0,255
1566,98,1,0,250
1567,98,0,0,251
1568,98,0,0,254
1569,98,0,0,254
1570,98,0,0,254
1571,98,0,0,254
1572,98,0,0,254
1573,98,0,0,254
1574,98,0,0,254
1575,98,0,0,254
1576,98,0,0,243
1577,98,2,1,255
1578,98,3,3,255
1579,98,0,3,255
1580,98,2,5,255
1581,98,0,0,252
1582,98,0,0,250
1583,98,3,1,250
1584,98,0,1,254
1585,98,0,1,254
1586,98,0,1,254
1587,98,0,1,254
1588,98,0,1,254
1589,98,0,1,254
1590,98,0,1,254
1591,98,0,1,254
1592,98,0,3,255
1593,98,0,2,252
1594,98,0,0,252
1595,98,0,2,240
1596,98,2,2,255
1597,98,7,0,254
1598,98,8,0,250
64,99,3,7,254
65,99,0,0,252
66,99,0,0,250
67,99,6,6,254
68,99,4,1,255
69,99,0,0,250
70,99,6,0,255
71,99,6,0,255
72,99,0,0,244
73,99,1,4,255
74,99,0,0,245
75,99,0,0,250
76,99,3,2,254
77,99,2,0,247
78,99,0,0,253
79,99,1,1,255
80,99,0,2,255
81,99,0,2,255
82,99,0,2,255
83,99,0,2,255
84,99,0,2,255
85,99,0,2,255
86,99,0,2,255
87,99,0,2,255
88,99,0,9,255
89,99,6,9,255
90,99,7,2,244
91,99,6,0,242
92,99,13,0,255
93,99,5,0,255
94,99,0,3,255
95,99,0,0,249
96,99,3,3,255
97,99,0,0,251
98,99,1,0,252
99,99,7,4,255
100,99,1,0,251
101,99,7,0,254
102,99,4,0,248
103,99,7,0,254
104,99,0,2,255
105,99,0,2,255
