x,y,r,g,b
40,13,84,83,89
34,14,94,93,99
35,14,66,65,71
32,15,79,78,84
35,15,92,91,97
38,15,66,65,71
38,16,77,85,108
42,17,65,62,83
32,18,68,75,81
42,18,75,72,91
38,19,73,78,100
32,20,84,89,92
35,20,99,94,100
35,21,80,75,82
34,76,103,102,107
40,76,70,70,72
42,77,105,104,109
32,78,93,92,98
33,79,98,97,105
38,79,96,95,101
32,81,78,106,118
38,81,88,116,119
38,82,63,77,90
38,83,62,71,80
39,83,101,110,125
287,86,90,106,132
290,86,36,70,107
145,87,51,67,80
146,87,85,101,114
147,87,85,101,114
148,87,92,108,121
149,87,89,105,118
150,87,90,106,119
151,87,73,89,102
152,87,63,79,92
153,87,94,110,123
154,87,82,98,111
155,87,92,108,121
156,87,64,80,93
157,87,68,84,97
158,87,89,105,118
160,87,91,105,118
161,87,72,84,96
286,87,83,104,125
287,87,47,73,96
288,87,36,74,111
290,87,67,102,134
291,87,79,110,139
292,87,77,103,130
293,87,80,102,126
294,87,86,107,128
297,87,63,76,85
143,88,85,110,132
144,88,88,104,117
145,88,94,110,123
149,88,68,84,97
150,88,91,107,120
151,88,73,89,102
159,88,86,102,115
160,88,80,97,113
161,88,84,107,125
162,88,52,75,93
163,88,46,64,78
164,88,91,100,105
280,88,68,84,99
284,88,93,120,137
285,88,86,106,117
286,88,93,104,108
288,88,95,95,97
295,88,77,91,104
296,88,83,102,119
297,88,84,105,126
298,88,58,83,105
299,88,69,97,121
300,88,69,99,127
138,89,101,110,119
139,89,70,82,94
140,89,93,109,124
141,89,77,96,111
142,89,86,107,124
143,89,81,102,119
145,89,55,73,87
162,89,51,69,83
163,89,59,78,93
164,89,50,69,83
166,89,80,88,91
277,89,58,71,88
278,89,53,73,98
279,89,65,90,120
280,89,95,103,126
281,89,89,101,127
282,89,92,112,139
283,89,70,94,120
284,89,78,103,125
301,89,65,95,123
302,89,61,92,121
303,89,59,90,121
137,90,59,78,95
138,90,66,89,107
139,90,71,94,112
145,90,101,102,104
163,90,79,92,101
164,90,49,70,87
165,90,49,72,90
166,90,40,58,72
167,90,53,63,72
275,90,55,84,102
276,90,59,79,103
277,90,68,82,108
278,90,79,91,115
280,90,65,91,128
281,90,43,64,95
303,90,78,93,100
304,90,63,80,96
305,90,83,97,110
135,91,87,101,112
136,91,76,103,124
165,91,60,74,87
166,91,51,72,89
167,91,43,66,84
168,91,64,74,83
274,91,47,74,83
304,91,66,91,113
305,91,67,88,107
133,92,88,111,127
134,92,68,90,111
135,92,66,91,111
166,92,96,106,116
167,92,55,74,91
168,92,52,71,88
169,92,68,84,97
272,92,61,86,108
273,92,71,92,113
305,92,78,104,127
306,92,82,103,120
307,92,95,109,120
132,93,54,79,99
133,93,54,81,102
168,93,60,81,98
169,93,53,70,86
170,93,58,71,80
306,93,80,101,120
307,93,78,95,111
131,94,78,100,114
