Data,Dim,Max_ACF,Max_Lag
H3K4me3,1,0.7307870714223168,8.280000000000001
H3K4me3,2,-0.6596355455519194,-60
H3K9ac,1,0.9617481103267084,-4.4399999999999995
H3K9ac,2,0.8558497520338691,-4.08
H3K14ac,1,0.917436022768026,-3.9000000000000004
H3K14ac,2,0.41909625095006453,45.84
H3K18ac,1,0.9633887568372461,-3.54
H3K18ac,2,0.9556031498799273,-4.0200000000000005
H3K36me3,1,-0.649820909991588,-29.64
H3K36me3,2,0.48803806468354405,60
H3K56ac,1,0.7460236737631861,39.900000000000006
H3K56ac,2,-0.7634840558590216,-30.3
H4K5ac,1,0.889647503905649,-3.9000000000000004
H4K5ac,2,0.9222883599564544,-0.06
H4K16ac,1,-0.5345453894854424,-1.8599999999999999
H4K16ac,2,0.7671140121286826,0
H3K4me3,1,0.7859862745115455,15.06
H3K4me3,2,0.6297275986543278,17.58
H3K9ac,1,0.9659651157153315,-3.7800000000000002
H3K9ac,2,0.9110770032145246,-3.84
H3K14ac,1,0.9168438707008743,-4.56
H3K14ac,2,0.45378675289044873,44.339999999999996
H3K18ac,1,0.9687992932034639,-2.88
H3K18ac,2,0.9530968276668215,-3.66
H3K36me3,1,-0.5134095842045635,-60
H3K36me3,2,0.4512024823255119,60
H3K56ac,1,0.7166940833343449,39.36
H3K56ac,2,-0.7844155929865443,-31.32
H4K5ac,1,0.9061628635670971,-4.2
H4K5ac,2,0.926167768465402,-3.84
H4K16ac,1,-0.5446095299324555,-3.42
H4K16ac,2,0.7108307402773429,0
H3K4me3,1,0.7328637779585107,6.78
H3K4me3,2,0.6630232325357142,19.62
H3K9ac,1,0.9591912055582024,-3.7800000000000002
H3K9ac,2,0.8956464571936982,-4.140000000000001
H3K14ac,1,0.9090845733577103,-6
H3K14ac,2,0.4551950014616991,44.82
H3K18ac,1,0.9652919244461233,-3.3
H3K18ac,2,0.9449255467655535,-3.5999999999999996
H3K36me3,1,0.5609054279670901,13.56
H3K36me3,2,-0.49580876212915703,-37.32
H3K56ac,1,0.7548174637073158,42.120000000000005
H3K56ac,2,-0.769424559390608,-31.380000000000003
H4K5ac,1,0.8994113459772884,-3.66
H4K5ac,2,0.9103671020607986,-2.4
H4K16ac,1,-0.6079937043943053,-3.7199999999999998
H4K16ac,2,0.7513424742105516,0
H3K4me3,1,0.792973903518937,10.86
H3K4me3,2,-0.6453386768195126,-60
H3K9ac,1,0.9460051140933857,-3.7800000000000002
H3K9ac,2,0.9045564383921358,-4.68
H3K14ac,1,0.9513669998609203,-4.56
H3K14ac,2,0.48246227804461705,43.68
H3K18ac,1,0.9823624965347654,-3.3
H3K18ac,2,0.9509157702337168,-4.86
H3K36me3,1,-0.544497663707747,-28.14
H3K36me3,2,0.44170425691629106,60
H3K56ac,1,0.7477639650958572,45.78
H3K56ac,2,-0.7524258496148962,-29.28
