Symbol	Loading
glycerol-3-phosphate	0.3383147207683899
glycerol	0.2331730136964006
glucopyranose	0.19250938378891663
serine	0.1518585268036985
succinate	0.1375091089319814
myo-inositol	0.11240390066373711
2-amino-adipinate	0.10898741963343986
trehalose	0.09916418855368439
leucine	0.0990362624102282
glucose	0.08954469091098312
fumarate	0.07716822904145915
glycine	0.0734328016959944
proline	0.059893555758569944
sucrose	0.05244452430172055
cystathionine	0.04375715435445862
lysine	0.04298656874990548
thiaminediphosphate	0.03644369272047699
threonine	0.03399040375105986
isoleucine	0.02924273669934829
valine	0.022872575904810018
alanine	0.022323768950270873
homoserine	0.02083770097036243
ornithine	0.01911303247430151
pseudouridine	0.016283404812439534
pyruvate	0.015108312664711571
lactate	0.015080973159520672
mannitol	0.014293841981070745
NADfragment	0.00954058890148968
arginine	0.005144385225757557
threonate	-0.022650124287681768
phenylalanine	-0.023841286087265125
ribose-5-phosphate	-0.023992157449340922
UDPandG1P	-0.0271484715336961
ribulose-5-phosphate	-0.04761158160784294
norvaline	-0.08930073908612887
3-hydroxy-butanoate	-0.09040557977958232
fructose	-0.10681035673354143
glucose-6-phosphate	-0.11533482781403569
2-methylmalate	-0.116732565986356
2-hydroxy-isovalerate	-0.1654897221487312
glycerate-3-phosphate	-0.17141644883514007
aspartate	-0.17679464987513427
6-phosphogluconate	-0.5046121043642126
methylcitrate	-0.5201107588466266
