Sample	Loading
T8	0.5421763163754121
T20	0.3369468307924293
T19	0.17226333764578095
T9	0.16363659581022574
T21	0.10877165372128933
T18	0.10124588851156445
T22	0.08736496327897976
T11	0.07099608418037232
T10	0.05334963778695593
T5	0.04321406433705594
T7	0.027368323875181268
T23	0.022832927973641066
T4	0.010157395388877308
T6	0.009342905919190653
T24	-0.039228733714457766
T17	-0.043335115907642004
T12	-0.046389209306442886
T16	-0.10397146852323765
T15	-0.1395828536935724
T3	-0.14506684618526697
T14	-0.18911773739978086
T2	-0.20961969321465382
T13	-0.40561704954750094
T1	-0.44044612643489384
