Symbol	Loading
cystathionine	0.1784176940147342
lysine	0.17776491108832748
inosine(269/137)	0.17419031943789604
inosine(269/110)	0.16794426799069467
IMP(349/97)	0.16624050755854483
citrulline(176/159)	0.1617952928990348
IMP(349/137)	0.1552810903309083
thymine(127/110)	0.15404307147337606
fructose	0.15326618960079738
uracil(113/70)	0.15291358058850987
serine	0.15134781447401718
acetyl-CoA(810/159)N	0.15071552636755925
glycerol	0.14510450566573124
cystathionine(223/134)	0.1449334204465962
ornithine	0.13932751880821137
AICAR(259/110)	0.13812133308017555
acetyl-CoA(810/303)N	0.13470038872984347
cystathionine(223/88)	0.13330663666556308
citrulline(176/70)	0.12730704751851143
2-amino-adipinate	0.11949679597817939
succinate	0.11098786069020357
methylcitrate	0.11055577471950145
pyruvate	0.11034390145908222
serine(106/60)	0.1097318112375255
isocitrate(193/83)A	0.10232381063070838
N-acetylglucosamine-1-phosphate(302/204)N	0.1019446718682469
isocitrate(193/101)A	0.10107707088876108
homoserine	0.1009343124995086
2-methylmalate	0.09666001680284786
NADP(H)(744/232)N	0.09533774209856236
N-acetylglucosamine-6-phosphate(302/126)N	0.09529039987297441
arginine	0.09484625184416497
AICAR(259/127)	0.09127006675916827
NADP(H)(744/136)N	0.08340786420153289
N-acetylglucosamine-6-phosphate(302/284)N	0.06547787199071188
AMP(348/136)	0.06452462607346511
AMP(348/119)	0.0603732095786693
leucine	0.05772285903050432
ornithine(133/70)	0.05673572559151976
glycerol-3-phosphate	0.056148333221770416
6-phosphogluconate	0.055963208531911765
lactate	0.049537827743477016
proline	0.04847333512173459
glycine	0.046633358931307684
ribulose-5-phosphate	0.044735500054160646
threonine(120/74)N	0.0433380847407881
pyridoxal-phosphate(248/94)	0.04203521540708494
ADP(428/119)N	0.04011277216753361
ADP(428/136)N	0.039846778210450635
FMN(457/172)N	0.03846524398619701
dAMP(332/136)N	0.0374828928639644
glucose-6-phosphate	0.03732003325859148
ornithine(133/116)	0.03531775967245409
GSSG(613/177)A	0.03401024594267167
aminolevulinicacid(132/114)A	0.03249996870575222
ribose-5-phosphate	0.03247682021581233
nicotinamide(123/80)	0.031134780217433614
homoserine(120/74)	0.03068516606425606
NADfragment	0.030362622376528585
alanine	0.029508418874113197
riboflavin(377/172)	0.029279562096635965
SAH(385/134)N	0.028610220223202316
SAH(385/136)N	0.02842262271016463
pyridoxal-phosphate(248/150)	0.027401096424430157
homocysteine(136/90)A	0.02602079596794744
proline(116/69)	0.025659865633140915
proline(116/70)	0.02417383971882956
homoserine(120/56)	0.02357557860860495
