Sample	Loading
T14	0.3113449195830039
T15	0.27796459220136865
T24	0.2598750445512255
T17	0.17091419672581207
T18	0.15989855485675183
T13	0.15948789677783776
T20	0.14549267115515377
T22	0.13922729786371363
T16	0.138469391015067
T9	0.13098645782178425
T23	0.07670371867330816
T21	0.0665547859387211
T4	0.05117043037227728
T7	0.031651760600827965
T2	-0.08585914726336746
T1	-0.0899770445366516
T8	-0.10534599714493234
T5	-0.15976440488086127
T6	-0.1846000634558428
T3	-0.20972352943573658
T12	-0.23189918327886694
T10	-0.24719329807136928
T19	-0.279709201383248
T11	-0.5137726303289377
