Symbol	Loading
acetyl-CoA(810/159)N	0.22155691255743604
inosine(269/137)	0.21432108929014934
IMP(349/97)	0.20918154248303214
inosine(269/110)	0.2080575252480595
IMP(349/137)	0.20162122947500274
thymine(127/110)	0.20155706855944458
citrulline(176/159)	0.1937065045082926
acetyl-CoA(810/303)N	0.1920551893963786
AICAR(259/110)	0.18768408044785323
uracil(113/70)	0.18537727887101338
AICAR(259/127)	0.17886746730285402
cystathionine(223/134)	0.153381436185077
citrulline(176/70)	0.14976755405834985
cystathionine(223/88)	0.1430438199670729
serine(106/60)	0.13354381663749385
isocitrate(193/83)A	0.1321226662829005
isocitrate(193/101)A	0.12227824568924062
N-acetylglucosamine-1-phosphate(302/204)N	0.1193949281073613
NADP(H)(744/232)N	0.10580835840444117
NADP(H)(744/136)N	0.10060631669251928
N-acetylglucosamine-6-phosphate(302/126)N	0.0877928974098295
N-acetylglucosamine-6-phosphate(302/284)N	0.07261820220632544
AMP(348/136)	0.05794609026514948
threonine(120/74)N	0.053011225224711564
AMP(348/119)	0.050805196210267
ornithine(133/70)	0.044218292738795115
homoserine(120/74)	0.034480722824036227
ADP(428/136)N	0.03206293112513192
dAMP(332/136)N	0.03104853050979837
proline(116/70)	0.030900512955494057
pyridoxal-phosphate(248/94)	0.030032489648335357
proline(116/69)	0.027025392917283023
FMN(457/172)N	0.02540146296229704
ADP(428/119)N	0.024549924688190002
homoserine(120/56)	0.02447046495596183
ornithine(133/116)	0.01851013542572281
FMN(457/243)N	0.014906579044241901
nicotinamide(123/80)	0.01432784562618068
pyridoxal-phosphate(248/150)	0.013555257229637949
NAD(H)(664/428)	0.007593972350212249
nicotinamide(123/78)	0.005373166157906077
GSSG(613/177)A	0.00529105385023131
NAD(H)(664/136)	0.005284975235351125
glucosamine(180/162)N	0.005265350299794927
glucosamine(180/72)N	0.004729624958256261
arginine(175/70)A	0.0026365430975339482
FAD(786/348)N	-0.0011529214230329204
arginine(175/116)A	-0.001708368966541411
SAH(385/134)N	-0.002394404214298171
SAH(385/136)N	-0.0026031012855032964
riboflavin(377/172)	-0.004095371752830677
FAD(786/136)N	-0.0069521358663473
riboflavin(377/243)	-0.007437360035355891
cysteine(122/76)A	-0.007478995667148609
GSSG(613/231)A	-0.009217414727090777
homocysteine(136/90)A	-0.009757110812541462
deoxyadenosine(252/136)	-0.014362983148149133
GSH(308/76)A	-0.014873739015521893
histidine(156/110)A	-0.014963595146314746
leucine(132/44)	-0.01570717357551959
UDP(405/69)N	-0.017495495290400016
GSH(308/179)A	-0.018043825518501165
histidine(156/83)A	-0.018136180238257037
UDP(405/97)N	-0.018788052465029695
valine(118/55)A	-0.020314125322061807
cysteine(122/59)A	-0.02057980126593249
valine(118/72)A	-0.021468293615483112
deoxyadenosine(252/119)	-0.026771867163607084
UDP-glucose(584/97)N	-0.02746255663087847
UDP-glucose(584/405)N	-0.028475585905144467
CMP(324/112)N	-0.03014197610850576
adenosine(268/119)	-0.036151081115887745
UDP-N-acetylglucosamine(608/204)N	-0.0369467780572879
glutamate(148/84)	-0.03757875182990019
SAM(399/250)A	-0.04027419221310944
UDP-N-acetylglucosamine(608/138)N	-0.04150652485805502
adenosine(268/136)	-0.04260690989244439
methionine(150/133)	-0.0426803107556145
glutamate(148/130)	-0.043699137705753066
cGMP(346/152)	-0.046218943340800636
spermine(203/112)	-0.046842197610952624
CoA(768/261)N	-0.047894711612724294
GMP(364/152)	-0.048146610218971354
UMP(325/97)	-0.04816983308369203
SAM(399/136)A	-0.048872681401102534
asparagine(133/74)	-0.051361319685995874
GMP(364/135)	-0.052878451371642606
methionine(150/104)	-0.05472441601485004
asparagine(133/87)	-0.054732176864353006
aminolevulinicacid(132/114)A	-0.05525594239235049
tryptophan(205/188)	-0.0561500568110238
tryptophan(205/146)	-0.05766575361965049
thiamine(265/122)A	-0.06159562081584632
N-acetylglucosamine-1-phosphate(302/138)N	-0.06715477953933122
CMP(324/95)N	-0.07144978723792848
guanine(152/110)	-0.07371882418152266
thiamine(265/144)A	-0.07455411621620953
spermidine(146/72)	-0.07596005621539959
guanine(152/135)	-0.07603991421058305
isoleucine(132/69)	-0.07768919978101618
cGMP(346/135)	-0.07778025850650672
phenylalanine(166/120)	-0.08938919766872773
phenylalanine(166/103)	-0.09093893276777819
tyrosine(182/91)	-0.09403500529829001
tyrosine(182/136)	-0.09683430912896279
UMP(325/213)	-0.10102756376803165
N-acetyl-glucosamine(222/138)	-0.10137758965645566
cytosine(112/95)	-0.1206069258075176
guanosine(284/152)	-0.1227054887882143
guanosine(284/135)	-0.12345853484510048
carnitine(162/103)	-0.15883838649020515
uridine(245/113)	-0.17215765866422925
cytidine(244/112)	-0.17691910463448454
spermidine(146/84)	-0.19498892686575192
cytidine(244/95)	-0.22201235297544575
