Sample	Loading
T18	0.3389864505053158
T10	0.2487386718508748
T7	0.21161493410069532
T11	0.19934050971626247
T4	0.17730551752094276
T23	0.15458621932977876
T1	0.14454906118941438
T6	0.14444113218039067
T3	0.13219767313736228
T9	0.11020806276407104
T21	0.0723590327251484
T17	0.044742367342490263
T19	0.005300028528431234
T12	-0.006053179704758804
T5	-0.007448994966336962
T8	-0.012557271209385866
T24	-0.10186404221336348
T20	-0.12930091711402975
T16	-0.14061152998968562
T15	-0.20192424938586692
T22	-0.25498933669470786
T2	-0.3542373429475992
T14	-0.3717580381627468
T13	-0.43373097308636693
