Sample	Loading
RT4	0.28902312418154097
MT32	0.24704386475978188
MT20	0.2270591758124666
RT3	0.22411342684061197
MT9	0.1949347743024125
RT2	0.1732611951594691
RT1	0.15540112866307254
MT8	0.14154892927152546
MT19	0.13225709612698913
RT16	0.13117249646450285
MT7	0.12141770049268427
RT5	0.1185131386054006
MT18	0.1107713081442099
MT6	0.10778712184992732
MT29	0.1060968509363515
MT31	0.10083077403203454
MT17	0.09529168022330659
MT30	0.09186482441030114
RT15	0.09039675568134997
MT5	0.08853283380796761
MT28	0.08543565613580652
MT16	0.06819894122586016
MT4	0.05757283130500143
MT27	0.05496168687606706
RT14	0.043644338432258685
MT15	0.0306812735006771
MT3	0.025053004486755702
MT26	-0.007559588207396887
MT14	-0.06480157713798614
MT2	-0.07551504934486852
MT21	-0.09137618567843586
RT6	-0.10425925713534805
MT25	-0.1046982690429008
MT23	-0.11934680938231303
MT24	-0.1210165561765733
MT35	-0.1212136468595997
MT33	-0.12332996690466032
MT36	-0.12458644868337503
RT7	-0.13365891980238467
MT22	-0.13915704415834915
MT34	-0.14024796313402835
MT10	-0.1460268716124378
RT8	-0.14635499735926252
MT12	-0.15609209416264008
RT13	-0.15621526736433003
RT10	-0.1597295898046763
RT9	-0.15973396579975718
MT11	-0.17065873980617896
MT13	-0.17081535543344611
RT11	-0.17172824966142625
MT1	-0.18940654332661405
RT12	-0.19950154221419772
