Sample	Loading
T32	0.4077899852268875
T9	0.36994425520738133
T20	0.35101303558977026
T8	0.1829914824930029
T19	0.15506360252580878
T7	0.1401389661451129
T31	0.12328349073775498
T18	0.11756115472165188
T29	0.11751782217652931
T6	0.10778642410239635
T30	0.1037141692942718
T17	0.0936237653715831
T28	0.08487543590949229
T5	0.06974204928568743
T16	0.049856248759152955
T27	0.03532656472955445
T4	0.03386245324498621
T15	-0.004058090221438943
T3	-0.011598853908523044
T26	-0.05163204703598162
T21	-0.0778513124477723
T33	-0.12756175542059087
T23	-0.12801877812329338
T35	-0.13330094272583093
T14	-0.13581080935698614
T10	-0.13631141751437945
T24	-0.13695139749689592
T36	-0.1440272938355751
T2	-0.14916861884602195
T25	-0.1529306062277118
T22	-0.15517167658736708
T12	-0.16020563218128936
T34	-0.1612411768419456
T11	-0.17830345479318102
T13	-0.22968390568538044
T1	-0.2525663041739194
