Sample	Loading
RT5	0.3155149892779335
MT9	0.2983975833625991
RT4	0.2947671798120362
MT32	0.24371925738625363
MT20	0.17822898231002832
MT10	0.14501298844491006
RT7	0.14070740929892456
MT12	0.13903695786534928
RT6	0.1345328941984878
MT11	0.12353902300647948
RT8	0.12198352476289841
MT21	0.11433667282676276
MT33	0.09400939527515197
MT35	0.09191705110702068
RT9	0.0907802421175328
MT23	0.08863407872179482
MT24	0.08164365929426358
MT22	0.07767574998774915
MT36	0.07472584153370902
RT10	0.07246465397597582
MT34	0.06655175657856373
RT3	0.04774628294451061
RT11	0.025239632909891126
MT8	-0.0023443482890134902
MT13	-0.01646562729073576
MT1	-0.01771195144121553
MT31	-0.023607847042426293
MT25	-0.03653323450154247
MT19	-0.04917671196202566
MT30	-0.05340315326072225
RT2	-0.060387137041719614
MT29	-0.0650890672599568
MT7	-0.06659886629834806
MT18	-0.07498919189028676
MT28	-0.07836329577406373
MT6	-0.09675753491202746
MT17	-0.10080569588638366
MT27	-0.10747442464082209
MT16	-0.1162117571637701
MT4	-0.11668199074252761
MT15	-0.11715243644968842
MT3	-0.12136280842698743
MT5	-0.12285845053392823
RT1	-0.131704784951562
MT26	-0.13305732858178076
MT14	-0.15514258857759006
MT2	-0.16168569661421886
RT16	-0.17660649555396618
RT15	-0.1911462997077506
RT14	-0.19135644120000683
RT12	-0.193675206735232
RT13	-0.29483386139455303
