"id"	"geneNum"	"description"	"BaiduTrans"	"definition"	"gene"
"GO:0000006"	"1"	"high-affinity zinc transmembrane transporter activity"	"高亲和力锌跨膜转运蛋白活性"	"Enables the transfer of zinc ions (Zn2+) from one side of a membrane to the other, probably powered by proton motive force. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations."	"YGL255W"
"GO:0000007"	"1"	"low-affinity zinc ion transmembrane transporter activity"	"低亲和力锌离子跨膜转运蛋白活性"	"Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Zn2+ = Zn2+, probably powered by proton motive force. In low-affinity transport the transporter is able to bind the solute only if it is present at very high concentrations."	"YLR130C"
"GO:0000009"	"9"	"alpha-1,6-mannosyltransferase activity"	"α-1,6-甘露糖基转移酶活性"	"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage."	"YBR004C,YDR245W,YEL036C,YGL038C,YJL183W,YJR075W,YML115C,YNR030W,YPL050C"
"GO:0000010"	"1"	"trans-hexaprenyltranstransferase activity"	"反式己烯基转移酶活性"	"Catalysis of the reaction: all-trans-hexaprenyl diphosphate + isopentenyl diphosphate = all-trans-heptaprenyl diphosphate + diphosphate."	"YBR003W"
"GO:0000014"	"8"	"single-stranded DNA endodeoxyribonuclease activity"	"单链DNA内脱氧核糖核酸酶活性"	"Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks."	"YGL175C,YGR258C,YHR164C,YJL208C,YKR056W,YML095C,YMR224C,YPL022W"
"GO:0000026"	"14"	"alpha-1,2-mannosyltransferase activity"	"α-1,2-甘露糖基转移酶活性"	"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->2) linkage."	"YBR015C,YBR199W,YBR205W,YDR483W,YGL142C,YIL085C,YJL139C,YJL186W,YKR061W,YNL029C,YNL219C,YOR099W,YOR149C,YPL053C"
"GO:0000030"	"28"	"mannosyltransferase activity"	"甘露糖基转移酶活性"	"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid."	"YAL023C,YBL082C,YBR004C,YBR015C,YBR110W,YBR161W,YBR199W,YBR205W,YCL052C,YDL095W,YDR307W,YDR483W,YER001W,YGL257C,YGR199W,YIL014W,YIL085C,YJL139C,YJL186W,YJR013W,YKR061W,YNL029C,YNL158W,YNL219C,YNR059W,YOR099W,YOR321W,YPL057C"
"GO:0000031"	"1"	"mannosylphosphate transferase activity"	"甘露糖基磷酸转移酶活性"	"Catalysis of the transfer of a mannosylphosphate group from one compound to another."	"YPL053C"
"GO:0000033"	"5"	"alpha-1,3-mannosyltransferase activity"	"α-1,3-甘露糖基转移酶活性"	"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->3) linkage."	"YER001W,YGL065C,YGL257C,YIL014W,YNR059W"
"GO:0000034"	"1"	"adenine deaminase activity"	"腺嘌呤脱氨酶活性"	"Catalysis of the reaction: adenine + H2O = hypoxanthine + NH3."	"YNL141W"
