"id"	"geneNum"	"description"	"BaiduTrans"	"gene"
"109581"	"19"	"Apoptosis"	"凋亡"	"YBR089C-A,YDL002C,YDL072C,YDL225W,YDR174W,YDR218C,YEL039C,YGR059W,YHR102W,YHR107C,YJR048W,YJR076C,YKL032C,YKR001C,YKR087C,YLL001W,YLR314C,YMR072W,YOR211C"
"109582"	"49"	"Hemostasis"	"止血"	"YAL024C,YBL007C,YBL105C,YBR025C,YBR109C,YBR179C,YBR204C,YCR038C,YDR164C,YDR168W,YDR288W,YDR323C,YEL061C,YER020W,YER170W,YFL039C,YGL006W,YGR152C,YHR042W,YIL033C,YIL034C,YIL043C,YJL164C,YJR104C,YKL007W,YKL094W,YKL166C,YKL209C,YKR019C,YLR113W,YLR229C,YLR310C,YLR422W,YML085C,YML124C,YMR006C,YMR008C,YMR092C,YMR183C,YMR197C,YNL012W,YNL233W,YOL011W,YOL100W,YOR301W,YOR360C,YPL203W,YPL232W,YPR031W"
"109606"	"8"	"Intrinsic Pathway for Apoptosis"	"细胞凋亡的内在途径"	"YDL225W,YDR218C,YEL039C,YGR059W,YHR107C,YJR048W,YJR076C,YLR314C"
"109704"	"3"	"PI3K Cascade"	"PI3K级联"	"YHR205W,YKL126W,YOL100W"
"110056"	"4"	"MAPK3 (ERK1) activation"	"MAPK3（ERK1）激活"	"YBL016W,YDL159W,YGR040W,YHR030C"
"110312"	"14"	"Translesion synthesis by REV1"	"REV1的翻译合成"	"YAR007C,YBR087W,YBR088C,YIL139C,YIL148W,YJR068W,YKR094C,YLR167W,YNL290W,YNL312W,YOL094C,YOR217W,YOR346W,YPL167C"
"110313"	"26"	"Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template"	"Y家族DNA聚合酶的易位合成绕过DNA模板上的损伤"	"YAR007C,YBR087W,YBR088C,YBR170C,YBR278W,YDL126C,YDR069C,YDR121W,YDR419W,YER144C,YGR048W,YIL139C,YIL148W,YJL065C,YJL197W,YJR068W,YKR094C,YLR167W,YNL262W,YNL290W,YNL312W,YOL094C,YOR217W,YOR346W,YPL167C,YPR175W"
"110314"	"17"	"Recognition of DNA damage by PCNA-containing replication complex"	"含PCNA复制复合物对DNA损伤的识别"	"YAR007C,YBL067C,YBR087W,YBR088C,YDL122W,YER098W,YIL148W,YIL156W,YJR068W,YKR094C,YKR098C,YLR167W,YNL290W,YNL312W,YOL087C,YOL094C,YOR217W"
"110320"	"15"	"Translesion Synthesis by POLH"	"POLH转粘着合成"	"YAR007C,YBR087W,YBR088C,YBR170C,YDL126C,YDR419W,YGR048W,YIL148W,YJR068W,YKR094C,YLR167W,YNL290W,YNL312W,YOL094C,YOR217W"
"110329"	"3"	"Cleavage of the damaged pyrimidine "	"受损嘧啶的裂解"	"YML021C,YML060W,YOL043C"
